Category,ID,Market Name,Product Name,Seller Name,Code – Andy,Code – Joseph,Agreement
Guides & Tutorials,150246,TradeRoute,"Dating scam more than $1,000",fence16693,Fraud,Fraud,,TRUE
Guides & Tutorials,145020,TradeRoute,MAKE $6K DAY BUYING ETHEREUM WITH CC OR PAYPAL,TheWealthMaker27897,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,92160,TradeRoute,[UPDATED 2017] AMAZON + EBAY PACKAGE + FREEBIES,Cyberzen1894,Other,Other,,TRUE
Information,116027,TradeRoute,Paypal to BTC Working Method JULY 2017,MoneyMule217898,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,101798,TradeRoute,ANTIDETECT 7 & FRAUDFOX VM+2 LIFETIME VPNS +AMAZON PRO GUIDE,RBPshop81999,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,146781,TradeRoute,♕ BITCOINS MONEY PACK | 16 GUIDES ♕,TheShop131697,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,113763,TradeRoute,★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,TheShop132197,Other,Other,,TRUE
Security,136414,TradeRoute,Theoretical & Experimental Methods Defending DDoS,pckabml143100,Denial of Service,Denial of Service,,TRUE
Guides & Tutorials,136616,TradeRoute,2017 -How To Buy Bitcoins With Your Credit Card,geekgorilla7100,Cashing Out,Cashing Out,,TRUE
E-books,128766,TradeRoute,What The Government Doesn't Want You To Know About Bitc,captainkirk0--,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,103642,TradeRoute,CCleaner PRO -- INCREASE YOUR SUCCESS IN CARDING,SplashStars3797,Carding,Carding,,TRUE
Security,97999,TradeRoute,Professional VPN - Avira Phantom VPN Pro + Crack,G3cko228798,Anonymity – VPN,Anonymity – VPN,,TRUE
Others Guides,282834,Apple Market,"THE FRAUD BIBLE  40.000 ITEMS INCLUDED!  99% OF ALL guides sold in the market: Carding,Cashout,Paypal,CC,Hacks,Etc",TheCousteauMotorcyclist,Carding,Carding,,TRUE
Guides & Tutorials,110888,TradeRoute,How To Make Money Trading Cryptocurrency,drunkninja168797,Cryptocurrency – Trading,Cryptocurrency – Trading,,TRUE
