freq,word,exfreq,LL,sig
4, '...',947.0,0.2043132107359935,Not significant
3, 'the',546.0,0.6326198078998564,Not significant
2, 'of',292.0,0.8207343050857192,Not significant
2, 'make',273.0,0.9622694647516852,Not significant
2, 'for',272.0,0.970229302886537,Not significant
3, 'guide',421.0,1.3544790143715542,Not significant
2, 'bitcoin',207.0,1.624714958759002,Not significant
1, 'on',59.0,1.6325889898104033,Not significant
1, 'megapack',52.0,1.836263668571505,Not significant
1, 'advanced',26.0,3.0303867173755563,Not significant
3, 'and',243.0,3.449894885746093,Not significant
1, 'practical',19.0,3.5972894676977436,Not significant
1, 'software',15.0,4.029904235520451,0.05
1, 'beginner',9.0,4.9695850151899466,0.05
1, 'windows',9.0,4.9695850151899466,0.05
1, 'virus',4.0,6.433892888380164,0.05
2, 'dummies',43.0,6.745300354879527,0.01
1, 'hands',2.0,7.6055011702904185,0.01
1, 'essentials',2.0,7.6055011702904185,0.01
2, 'book',32.0,7.822976399480351,0.01
2, 'top',14.0,10.85918191842635,0.001
1, 'botnets',0.0,11.41125523635655,0.001
1, 'builders',0.0,11.41125523635655,0.001
1, 'rootkits',0.0,11.41125523635655,0.001
1, 'guid',0.0,11.41125523635655,0.001
2, 'code',8.0,12.867785776760329,0.001
2, 'little',4.0,15.211002340580837,0.0001
2, 'source',3.0,16.112390218174653,0.0001
2, 'black',2.0,17.290663971936283,0.0001
3, 'analysis',6.0,22.816503510871254,0.0001
2, 'ransomware',0.0,22.8225104727131,0.0001
2, 'phildelphia',0.0,22.8225104727131,0.0001
2, 'others',0.0,22.8225104727131,0.0001
2, 'stealing',0.0,22.8225104727131,0.0001
4, 'computer',12.0,27.73028197984081,0.0001
4, 'viruses',0.0,45.6450209454262,0.0001
6, 'malware',8.0,49.399428261337064,0.0001
