subject,New Code,LLSum,AutoCat
"☆ 3,4-mdma synthesis for beginners  ☆",Drugs – Production,95,Drugs – Production
ALL MY VIDEO TUTORIALS FOR HUGE SUCCESS IN CARDING !!!,Carding,1785,Carding
Recommended Vulnerable Sites for Carding,Carding,1790,Carding
★★★ How to Trade Altcoins ★★★,Cryptocurrency – Trading,204,Drugs – Production
Mastering Bitcoin 2015,Cryptocurrency – General,486,Cryptocurrency – General
100 Deadly Skills The SEAL Operative's Guide 2015,eBooks – Other,243,eBooks – Other
hacking-android.,Hacking – Mobile,20,Hacking – Mobile
CARDING LESSONS VOL. I,Carding,1709,Carding
7 Reasons A Credit Card Gets Blocked,Carding,244,Carding
Gunsmithing and Tool Making Bible,Weaponry & Explosives,106,Weaponry & Explosives
***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),Hacking – General,335,Hacking – General
A Practical Guide to Networking Privacy & Security in iOS 9 2015,eBooks – Technical,129,Anonymity – Other
[TUTO FR] Le Carding de A à Z,Carding,1652,Carding
♕ DELL Carding Method ♕,Carding,1759,Carding
✔ ⟁ DO IT YOURSELF GUIDE PACK 700+ ⟁ (͠≖ ͜ʖ͠≖),eBooks – Other,52,Modifying Credit
"LIST OF OVER 10,000 CARDABLE SITES",Carding,306,Carding
Converting your CVV into a fullz,Carding,114,Cashing Out
MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,Hacking – Website,287,Hacking – General
"Drug Abuse Handbook, 2nd Ed",Drugs – General,142,Drugs – General
♕ Anarchist's Coockbook (Updated) ♕,Weaponry & Explosives,155,Weaponry & Explosives
How To Get The Caller ID Of An Unknown Number,Hacking – Phreaking,313,Hacking – Phreaking
How To Make A Phishing Website,Fraud,489,Drugs – Production
How to make Alcohol?,Drugs – Production,529,Drugs – Production
Hacking Exposed Web Applications.,Hacking – Website,287,Hacking – General
3 Ways to cash out a CC,Cashing Out,765,Cashing Out
[v.1]★[CC/CVV Carding For Beginners] [n00b Friendly],Carding,1677,Carding
Basic Carding Tutorial 1,Carding,1742,Carding
Security and Privacy in Internet of Things IoTs 2016,eBooks – Technical,129,Anonymity – Other
HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,Cashing Out,819,Cashing Out
"Pick-10-Book List: COMMAND LINE PRO using BASH, SHELL and TERMINAL",eBooks – Technical,411,eBooks – Technical
How To Hack Hotmail Accounts,Hacking – Website,219,Hacking – Website
♕ HOW TO SELL DRUGS ♕,Drugs – General,384,Drugs – General
Cannabinoids as Therapeutics,Drugs – General,68,Drugs – General
Hacking: Hacking Practical Guide for Beginners,Hacking – General,616,Hacking – General
Anonymous SMS Spoofer (buy 1 get 1 free),Anonymity – Other,185,Anonymity – Other
Predator Empire Drone Warfare and Full Spectrum Dominance 2016,eBooks – Technical,49,Carding
"NEW PRIVATE CC TO BTC GUIDE (AMAZON, ITUNES, EBAY)",Cashing Out,905,Cashing Out
PUREVPN.COM - ★PREMIUM ACCOUNT★ [LIFETIME],Anonymity – VPN,289,Anonymity – VPN
carding  Etsy online marketplace,Carding,1618,Carding
The Cannabis Breeders Bible The Definitive Guide 2005,Drugs – Production,266,Drugs – General
HOW TO MAKE MONEY WITH YOUR RAT SLAVES,Other,505,Drugs – Production
CARDING - CC To BTC,Carding,1618,Carding
CC to Moneygram,Cashing Out,513,Cashing Out
PRIVATE UNDERGROUND AMAZON CARDING GUIDE,Carding,1618,Carding
Ethereum and Bitcoin The Bundle Guide 2017,Cryptocurrency – General,471,Cryptocurrency – General
How to Make Amphetamine WITH PHOTOS,Drugs – Production,730,Drugs – Production
"OVER 970 ""FOR DUMMIES"" EBOOKS ONLY $5",eBooks – Other,138,eBooks – Other
HIDEMYASS.COM – VPN – ★PREMIUM ACCOUNT★ [LIFETIME],Anonymity – VPN,615,Anonymity – VPN
BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Cashing Out,1066,Cashing Out
ANONYMOUS SAFE EMAIL ACCOUNT,Anonymity – Other,237,Anonymity – VPN
LIST OF CARDABLE VIRTUAL PRODUCT WEBSITES,Carding,253,Carding
Propellants and Explosives,Weaponry & Explosives,144,Weaponry & Explosives
Platinum Virtual Carder Handbook (UVCH) 2.11,Carding,281,Carding
"The Carding Guide, All The Knowledge. SUPER-GUIDE.",Carding,1748,Carding
Complete Guide into learning Photoshop,eBooks – Technical,57,eBooks – Technical
CARDING - CC Cashout Guide - Rabbit Method,Carding,1730,Carding
[TUTO FR] Vérifier le solde d'une CC / CC check,Carding,826,Cashing Out
The Complete Guide to Gunsmithing Gun Care and Repair 2015,Weaponry & Explosives,204,Weaponry & Explosives
Pick-10-Book List: PYTHON Programming and Web Application Frameworks,eBooks – Technical,734,eBooks – Technical
Drone Warfare and Lawfare in a Post Heroic Age 2016,Other,46,Carding
GUNSMITHING 101 - Make Guns And Gun Accessories,Weaponry & Explosives,348,Weaponry & Explosives
How To Pass Your Fake ID,Resources – Identity Documents,204,Drugs – Production
***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),Hacking – General,335,Hacking – General
The Little Black Book of Computer Viruses,Malware Authorship,173,eBooks – Other
Anarchist Cookbook 4,Weaponry & Explosives,157,Weaponry & Explosives
♕ CVV Cashout Via BTC ♕,Cashing Out,1078,Cashing Out
WiFi Hacking + FREEBIES,Hacking – Wireless Networks,287,Hacking – General
Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,Cashing Out,782,Cashing Out
279 Passport Scans From All Around The World,Resources – Identity Documents,210,Resources – Identity Documents
carding apple TUTORIAL,Carding,1762,Carding
Ultimate Hacking Megapack 14gb,Hacking – General,345,Hacking – General
**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,Fraud,94,Fraud
Deal The First Deadly Blow,eBooks – Other,119,Drugs – General
CSS The Definitive Guide 4th edition early release 2017,eBooks – Technical,224,eBooks – Technical
Machine Learning and Security early release 2017,eBooks – Technical,192,eBooks – Technical
****Double your Bitcoins****,Cryptocurrency – General,144,Cryptocurrency – General
How to Grow Practically Everything,Drugs – Production,365,Drugs – Production
Jesse Venturas Marijuana Manifesto 2016,Drugs – General,107,Drugs – Production
How to Get a New Credit Report Identity (Tested & Works),Modifying Credit,236,Modifying Credit
"Drugs The Straight Facts, Antidepressants",Drugs – General,1141,Drugs – General
macOS Sierra For Dummies 2016,eBooks – Technical,46,eBooks – Technical
★ MASSIVE HACKPACK ★ 3GB ★ UPDATED ★,Hacking – General,108,Hacking – General
"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",Carding,1621,Carding
★ ANONIMITY STARTPACK - 24 Essential Guides ★,Anonymity – Other,84,Anonymity – Other
11 SEO Mistakes You Must Avoid On Your Website,SEO,230,SEO
Everyday Anarchy,eBooks – Other,15,Other
How to add your own trade lines(Clone),Modifying Credit,293,Modifying Credit
Paypal transfer + cashout money guide,Cashing Out,1133,Cashing Out
"Dictionary of Deities and Demons in the Bible, Second Edition",eBooks – Other,165,eBooks – Technical
Carding basic concepts & terminologies,Carding,1643,Carding
COINBASE BTC CASHOUT GUIDE SYSTEM 2017,Cashing Out,1010,Cashing Out
"Drugs The Straight Facts, Barbiturates",Drugs – General,1141,Drugs – General
HOW TO SHIP MARIJUANA★AND NOT GET CAUGHT,Transportation/Stealth,204,Drugs – Production
Wicca and Witchcraft E-Books Collection,eBooks – Other,92,eBooks – Other
ʙɪᴛᴄᴏɪɴ ᴍɪʟɪᴏɴᴀɪʀᴇ ᴠᴏʟ.ɪ,Cryptocurrency – General,141,Cryptocurrency – General
Protect Your Digital Life The Online Security Guide 2016,eBooks – Technical,119,Drugs – General
Setup Anonymous PayPal,Anonymity – Other,447,Cashing Out
HOW TO USE BITCOIN ANONYMOUSLY,Cryptocurrency – General,465,Cryptocurrency – General
FULLZ PHISHING GUIDE,Fraud,177,Fraud
Amphetamine Synthesis - Very Easy With Photos,Drugs – Production,336,Drugs – Production
Pick-a-Book List: JAVA Programming and Web Application Frameworks,eBooks – Technical,746,eBooks – Technical
❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT,Carding,1682,Carding
Amphetamine Synthesis Gold Pack with Pictures,Drugs – Production,275,Drugs – Production
Multitenancy with Rails 2016,eBooks – Technical,61,eBooks – Technical
Learning Bitcoin 2015,Cryptocurrency – General,430,Cryptocurrency – General
How to Get a New Credit Report Identity (Tested & Works),Modifying Credit,236,Modifying Credit
Tor and the Dark Art of Anonimity,Anonymity – Tor,654,Anonymity – Tor
100% LEGAL MAKE A TON OF MONEY TRADING ALT-COINS,Cryptocurrency – Trading,724,Cryptocurrency – Trading
"Organic Marijuana, Soma Style: The Pleasures of Cultivating",Drugs – Production,170,Drugs – General
CASHOUT USA FULLZ TO BITCOIN SAME DAY,Cashing Out,758,Cashing Out
300+ Daily,Other,20,Cashing Out
★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,Other,107,Weaponry & Explosives
