subject,New Code,LLSum,AutoCat
Shipping Schedule,Transportation/Stealth,20.0,Other
Transferring Bitcoins through tor,Anonymity – Tor,348.0,Anonymity – Tor
Grade AAAA buds from top trusted vendor,Drugs – General,59.0,Other
Alternate URL now available for market abraxasderinuupa.onion,Other,18.0,Other
can't figure out how to pay for purchase with my bitcoins,Cryptocurrency – General,308.0,Cashing Out
Help,Other,0.0,Other
Deposting ,Other,0.0,Other
fixed,Other,6.0,Other
Update: Mixers & Cleaners,Cashing Out,0.0,Other
Tor Configuration settings.Tor is not enough Now Configure ,Anonymity – Tor,348.0,Anonymity – Tor
PIN questions,Other,10.0,Other
how to buy bitcoin?,Cryptocurrency – General,435.0,Cryptocurrency – General
PIN Change,Other,47.0,Other
Scam or What?,Fraud,408.0,Fraud
EASY 4096 PGP (Step by Step Guide),PGP/GPG,291.0,PGP/GPG
Trouble deleting old PM,Other,11.0,Other
abraxas btc wallet,Cryptocurrency – General,440.0,Cashing Out
info market,Other,32.0,Other
How to cancel an order??,Other,43.0,Other
Oompa lumpa,Other,0.0,Other
Getting Bitcoin?,Cryptocurrency – General,435.0,Cryptocurrency – General
Can't find my orders...,Other,44.0,Other
can you make a single Abraxas market purchase with combination dash / btc?,Cryptocurrency – General,474.0,Cashing Out
address mail for the darknet,Anonymity – Other,114.0,Drugs – General
help admin,Other,0.0,Other
finalize early,Other,25.0,Other
Help,Other,0.0,Other
Is it Ok to use initial for last name on mailing address?,Anonymity – Other,66.0,Other
depositing bitcoins help,Cryptocurrency – General,116.0,Cryptocurrency – General
card + drop in the US,Carding,223.0,Carding
<<<<<MR_Disambiguation is here to help and educate the Masses new or old >>>>>,Other,114.0,Drugs – General
Clear address for buying?,Anonymity – Other,18.0,Other
PGP for Mac Tutorial :D ,PGP/GPG,311.0,PGP/GPG
Abraxas is currently down for maintenance.,Other,18.0,Other
i cant't edit my review topic.....it has a strange title!,Other,49.0,Other
Shipping question,Transportation/Stealth,17.0,Other
Depositing Bitcoins,Cryptocurrency – General,116.0,Cryptocurrency – General
Reputable and Trusted Canadian vendor of high grade medical marijuana ,Drugs – General,124.0,Drugs – Production
"I have forgotten my pin and i really do not wish to wait 2 weeks,",Other,46.0,Other
Forgotten Password,Other,36.0,Other
Do you need help? I can do it for you,Other,78.0,Other
about two orders at the same time,Other,117.0,Cashing Out
Order cleared?,Other,40.0,Other
RevenantChild,Other,0.0,Other
Contacting admin ,Other,0.0,Other
I donÃ¬'t see my bitcoins in my wallet,Cryptocurrency – General,116.0,Cryptocurrency – General
PGP Questions,PGP/GPG,263.0,PGP/GPG
"Paypal transfers, refunds, PP rings...anyone here?",Cashing Out,480.0,Cashing Out
Where to Post ,Other,8.0,Other
Complete Noob here...,Other,85.0,Doxing
PGP,PGP/GPG,263.0,PGP/GPG
New User Questions,Other,17.0,Other
Getting error on decrypting a pgp,PGP/GPG,263.0,PGP/GPG
FE Question,Other,0.0,Other
Cant withdraw BTC,Cryptocurrency – General,440.0,Cashing Out
 $40/eigth Cubensis Mushrooms [USA to USA] ,Drugs – General,74.0,Other
Mailing PGP,PGP/GPG,263.0,PGP/GPG
pm's,Other,0.0,Other
Another newbie needs help!,Other,13.0,Other
Newbie needs help,Other,13.0,Other
Deposit to Abraxas from Bitcoin ATM or LibertyX?,Cryptocurrency – General,435.0,Cryptocurrency – General
Bitcoin Tumbler,Cryptocurrency – General,435.0,Cryptocurrency – General
*Stickey* IceManDan's Bitcoin cleaning process! (clean BTC to market),Cashing Out,513.0,Cashing Out
Fe listing versus escrow listing  (Seller is  Listonishere ),Other,17.0,Other
Deposit via Localbitcoin?,Cryptocurrency – General,39.0,Other
<<<<<MR_Disambiguation is here to help and educate the Masses new or old >>>>>,Other,114.0,Drugs – General
 I invite you on a new market ,Other,53.0,Other
 I invite you on a new market ,Other,53.0,Other
Laundering services,Cashing Out,20.0,Other
Bitcoin Mixers!,Cashing Out,435.0,Cryptocurrency – General
Springville Utah man busted for ordering drugs from Amsterdam,Other,375.0,Drugs – General
*Important* security tip for people looking to become vendors/sellers,Other,46.0,Other
P.G.P ugh,PGP/GPG,18.0,Other
Did anyone use this mixer?,Cashing Out,41.0,Other
Secure .onion Email Provider,Anonymity – Other,23.0,Other
General Safety Advice,Other,15.0,Other
please advice me for method of send the package,Transportation/Stealth,184.0,Carding
help convert CC info to BTC,Cashing Out,839.0,Cashing Out
If you need an invite code to register then look no further,Other,43.0,Other
Alternative email provider thats secure other than riseup?,Anonymity – Other,23.0,Other
"Randomizing fees (eg ""1.4-1.6%"" rather than 1.5%) both IN + OUT?",Other,261.0,Cashing Out
SOCKS-change your IP in Firefox,Anonymity – Proxies,56.0,Other
Chaining a Socks5 With Tor,Anonymity – Proxies,356.0,Anonymity – Tor
probably a stupid question,Other,0.0,Other
USBkill (aka USB killswitch).,Other,9.0,Other
Coins sent to DNM without washing,Cashing Out,0.0,Other
Ragnar Benson books,eBooks – Other,16.0,Other
DELETE ACCOUNT???,Other,219.0,Anonymity – VPN
(Highly Recomended) Do not use AutoPGP,PGP/GPG,69.0,Other
How to beat a controlled delivery!! MUST READ!!!,Transportation/Stealth,41.0,Other
Cocaine acetone washes (how to guide),Drugs – Production,111.0,Drugs – Production
RAR pass cracking,Hacking – General,30.0,Other
Yasuo's infamous $150 Paypal and Amazon guide for FREE!,Other,499.0,Cashing Out
amazon gift cards - how do you mail the actual goods to yourself?,Transportation/Stealth,143.0,Carding
PGP In Plain English: A Simple Man's Guide To Using PGP/GPG Like A Pro,PGP/GPG,316.0,PGP/GPG
lost my pin,Other,44.0,Other
Buying BTCs thru localbitcoins-how to get them to here safely!!!,Cryptocurrency – General,39.0,Other
Understanding how Bitcoin works,Cryptocurrency – General,435.0,Cryptocurrency – General
