thread_id,Product Name,LLSum,AutoCat
28,How to all websites in a server!,19,eBooks – Technical
33,Xss in airtel.in by satz and Darker,14,Other
732,Bunch of sql vulnerable links my collection!!,63,eBooks – Other
736,Google dorks for sql injection!!!!,47,eBooks – Technical
749,[app]How to find admin path of a website?,26,Other
752,Sql vulnerable links!!,34,eBooks – Technical
760,Greatest javascript tricks,96,eBooks – Technical
780,Mybb 1.6.2 is vulnerable!!,26,Other
775,Sql vulnerable links!!!!,34,eBooks – Technical
784,[EXPLOIT] FORCE CHMOD 777 on Readonly Files on Hacked Server [EXPLOIT],88,Hacking – Website
807,scanner+md5 cracker+deface page maker+admin finder,26,Other
810,[LIST] HUGE (6000+) list of PHP Shells like r57 and c99!,282,eBooks – Technical
812,DNN hacking hack websites using google!!,341,Hacking – General
825,Deface Page Generator - Easy to use -,22,Anonymity – Proxies
834,Exploit data from a computer ( Reverse Shell ),64,eBooks – Technical
835,Top 100 shells for u guys!!,28,Cashing Out
891,– Phpmyadmin direct Database access exploit,44,Hacking – Website
907,Poxy checkers!!Tool download,11,Other
914,[TUT]vBullentin 4.0.x => 4.1.2 (search.php)SQL Injection Vuln[TUT],61,SEO
956,Hacking websites the easiest way ever known,281,Hacking – General
1103,[SQLi] [DORKS]  Vulnerability Master 1.0,9,Other
1189,[tut]sql injection attack(noobs friendly heavy images),34,eBooks – Technical
1196,Symlink tutorial private,64,Carding
1206,TinyMCE ajaxfilemanager remote File Upload Vulnerability,0,Other
1208,WordPress plugin tdo mini File Upload Vunerablity,0,Other
1209,Joomla Password Reset vulnerability,8,Other
1211,Popular Ways To Hack And Crack A Website,60,Hacking – Website
1213,LFI ( Local File Inclusion ) Website hacking Tutorial,281,Hacking – General
1223,RFI (Remote File Inclusion) : Website Hacking Tutorial,281,Hacking – General
1224,Portal Hacking (DNN) | Dot Net Nuke Website Hacking Tutorial,562,Hacking – General
1227,website Hacking With Real SQL : Automatic SQL Injection Tool,296,Hacking – General
1232,Mr.Dark Soul's Wordpress Blog Hacker,100,Hacking – General
1234,Geeklog Remote Deface Upload Vunerablity,0,Other
1235,RFI (Remote File Inclusion) : Website Hacking Tutorial,281,Hacking – General
1236,Asset Manager :Shell and Files upload Vulnerability,12,Other
1241,phUploader Remote File Upload Vulnerability,0,Other
1242,http://cellist.nl/ mass deface hacked by team tigers,29,Hacking – General
1243,Webdav google dork hack site  without shell,60,Hacking – Website
1257,TinyFileBrowser ~ Remote file Upload Vulnerability,0,Other
1258,Simple Upload 53 : Shell Upload Vulnerability,0,Other
1259,WordPress jetpack plugin SQL Injection Vulnerability,34,eBooks – Technical
1260,ITHorizon (lang) SQL Injection Vulnerability,34,eBooks – Technical
1266,WAF bypassing {sql injection},34,eBooks – Technical
1268,Bypass admin login by sql error!,34,eBooks – Technical
1270,KindEdior Remote File Upload exploit,44,Hacking – Website
1271,CMS admin Image Uploader Shell Upload Vulnrability,26,Other
1289,How to all websites in a server!,19,eBooks – Technical
1552,Loic Online hahaha,29,Anonymity – Other
1558,[ Tut ] Metasploit Offensive Security,29,Other
1559,Metasploit Email Collector By BlackHat,57,Anonymity – Other
1560,Attack SSL,8,Other
1561,Enable Java Script,157,eBooks – Technical
1562,Looking for Shells uploaded to google,31,SEO
1563,Dorks how to use and how,22,Anonymity – Proxies
1565,Convert Files. BAT FOR. EXE,42,Cashing Out
1566,[TuT ] Xss By BlackHat,9,Other
1568,Putting Proxy Manually,51,Anonymity – Proxies
1569,BACKTRACK 5 up BT5R1,19,Hacking – Wireless Networks
1570,Strings Sql,34,eBooks – Technical
1572,Strings (Dorks),0,Other
1573,WebShell By BlackHat,0,Other
1574,RFI Scanner In Perl,9,Other
1575,Apache 2.2Ddos,12,Other
1595,[Release] SSSF,16,eBooks – Technical
1596,Exploring Cross Site Scripting (XSS) with Metasploit,57,eBooks – Technical
1616,Giving pak Gov site shell Upload path!,0,Other
1634,[2012]Linux Local Root for >=2.6.39 64-bit,38,eBooks – Technical
1642,Unlock 100% TF2 achievements (working hack) STEAM GAME,60,Hacking – Website
