freq,word,exfreq,LL,sig
0,'s,0,0,Not significant
2,virtual,30,0,Not significant
1,advanced,27,0,Not significant
1,attack,5,0,Not significant
1,test,13,0,Not significant
1,beginner,9,0,Not significant
1,techniques,9,0,Not significant
1,system,26,0,Not significant
1,21,4,0,Not significant
1,beyond,6,0,Not significant
1,start,7,0,Not significant
1,computer,16,0,Not significant
3,google,19,0,Not significant
1,cre,4,0,Not significant
1,17,5,0,Not significant
1,revolution,8,0,Not significant
3,practical,19,0,Not significant
1,stop,5,0,Not significant
1,us,5,0,Not significant
2,step,28,0,Not significant
2,software,14,0,Not significant
2,business,15,0,Not significant
2,book,30,0,Not significant
2,full,22,0,Not significant
1,279,4,0,Not significant
2,ii,18,0,Not significant
1,͠≖,6,0,Not significant
2,instagram,17,0,Not significant
1,͜ʖ͠≖,5,0,Not significant
1,yourself,7,0,Not significant
1,25,8,0,Not significant
1,33,4,0,Not significant
2,no,12,0,Not significant
1,38,4,0,Not significant
2,one,15,0,Not significant
2,search,11,0,Not significant
2,secret,26,0,Not significant
1,wireless,18,0,Not significant
3,privacy,24,0,Not significant
1,du,4,0,Not significant
1,deep,15,0,Not significant
4,2017,32,0,Not significant
1,own,21,0,Not significant
4,on,56,0,Not significant
5,easy,52,0,Not significant
1,12,6,0,Not significant
4,basic,30,0,Not significant
1,getting,14,0,Not significant
1,networks,7,0,Not significant
1,13,6,0,Not significant
5,by,37,0,Not significant
4,100,65,0,Not significant
1,over,17,0,Not significant
3,using,33,0,Not significant
1,gui,8,0,Not significant
1,most,6,0,Not significant
1,essential,14,0,Not significant
1,hacks,8,0,Not significant
1,engineering,7,0,Not significant
1,items,17,0,Not significant
1,learn,5,0,Not significant
1,less,6,0,Not significant
1,image,7,0,Not significant
1,15,6,0,Not significant
1,life,10,0,Not significant
1,infosec,4,0,Not significant
0,to,0,0,Not significant
0,make,0,0,Not significant
0,...,0,0,Not significant
1,fast,12,0,Not significant
1,protect,5,0,Not significant
1,46,2,1,Not significant
1,quality,3,1,Not significant
1,37,3,1,Not significant
1,inter,2,1,Not significant
1,32,2,1,Not significant
1,31,2,1,Not significant
1,level,2,1,Not significant
1,made,2,1,Not significant
1,41,2,1,Not significant
1,49,2,1,Not significant
1,70,3,1,Not significant
1,managing,2,1,Not significant
1,edit,3,1,Not significant
1,driving,2,1,Not significant
1,diy,2,1,Not significant
1,professional,3,1,Not significant
1,empire,3,1,Not significant
1,end,3,1,Not significant
1,rise,3,1,Not significant
1,defending,2,1,Not significant
1,write,2,1,Not significant
2,certified,8,1,Not significant
1,pick-5-book,2,1,Not significant
1,photoshop,2,1,Not significant
1,term,2,1,Not significant
1,three,2,1,Not significant
1,perl,3,1,Not significant
1,97,2,1,Not significant
1,ways,29,1,Not significant
1,62,3,1,Not significant
1,securing,2,1,Not significant
1,27,2,1,Not significant
1,51,2,1,Not significant
1,117,3,1,Not significant
1,--,29,1,Not significant
2,official,8,1,Not significant
1,159,2,1,Not significant
3,course,16,1,Not significant
1,19,3,1,Not significant
3,steps,13,1,Not significant
6,pro,36,1,Not significant
2,into,7,1,Not significant
6,dummies,40,1,Not significant
1,24,3,1,Not significant
4,apple,25,1,Not significant
2,penetration,9,1,Not significant
2,great,9,1,Not significant
4,seo,25,1,Not significant
15,in,127,1,Not significant
2,front,9,1,Not significant
1,22,2,1,Not significant
1,158,2,1,Not significant
1,110,2,1,Not significant
1,101,1,2,Not significant
1,2016,1,2,Not significant
1,accounting,1,2,Not significant
1,161,1,2,Not significant
1,121,1,2,Not significant
1,fixed,1,2,Not significant
1,two,1,2,Not significant
1,architecture,1,2,Not significant
1,mobile,38,2,Not significant
9,guides,55,2,Not significant
1,all,39,2,Not significant
1,203,1,2,Not significant
3,complete,75,2,Not significant
1,198,1,2,Not significant
1,173,1,2,Not significant
1,da,1,2,Not significant
1,cybersecurity,1,2,Not significant
1,optimiza,1,2,Not significant
1,defense,1,2,Not significant
3,internet,11,2,Not significant
3,game,12,2,Not significant
1,267,1,2,Not significant
1,textbooks,1,2,Not significant
1,human,1,2,Not significant
1,online,43,2,Not significant
1,169,1,2,Not significant
1,189,1,2,Not significant
1,105,1,2,Not significant
1,successful,1,2,Not significant
1,big,38,2,Not significant
1,digital,38,2,Not significant
1,195,1,2,Not significant
1,172,1,2,Not significant
1,89,1,2,Not significant
1,loading,1,2,Not significant
1,7th,1,2,Not significant
1,30,1,2,Not significant
1,292,1,2,Not significant
1,147,1,2,Not significant
1,258,1,2,Not significant
1,289,1,2,Not significant
1,processing,1,2,Not significant
2,6th,6,2,Not significant
1,146,1,2,Not significant
3,things,11,2,Not significant
1,281,1,2,Not significant
