,,,,
,Market Listings,,,
,Category,Man,Auto,+/-
,Cashing Out,491,611,120
,eBooks – Technical,520,640,120
,Anonymity – VPN,74,86,12
,Anonymity – Tor,50,63,13
,Drugs – Production,278,264,-14
,Counterfeit Currency,19,38,19
,Hacking – Phreaking,10,9,-1
,Modifying Credit,49,50,1
,Cryptocurrency – Trading,40,53,13
,Resources – Identity Documents,29,27,-2
,Digital Forensics,56,58,2
,Clearing Criminal History,9,5,-4
,Lockpicking,17,13,-4
,Resources – Contact Lists,11,3,-8
,eWhoring,21,28,7
,SEO,35,39,4
,Denial of Service,11,10,-1
,Malware Authorship,17,15,-2
,Hacking – General,147,165,18
,Doxing,24,30,6
,Hacking – Wireless Networks,35,34,-1
,Hacking – Mobile,25,21,-4
,Hacking – Malware Supply Chain,16,11,-5
,Weaponry & Explosives,108,102,-6
,Hacking – Website,57,41,-16
,eBooks – Other,394,178,-216
,Fraud,247,261,14
,Drugs – General,201,185,-16
,Transportation/Stealth,40,66,26
,Cryptocurrency – General,198,249,51
,PGP/GPG,22,29,7
,Carding,770,704,-66
,Anonymity – Other,124,90,-34
,Anonymity – Proxies,56,45,-11
,Other,223,201,-22
