Category,Rand,ID,Market Name,Price,subject,Seller Name,Old Code,New Code,Notes
E-books,16403,138295,TradeRoute,5.96,"☆ 3,4-mdma synthesis for beginners  ☆",mindTraveller13100,Drugs,Drugs – Production,
Information,12557,148398,TradeRoute,50,ALL MY VIDEO TUTORIALS FOR HUGE SUCCESS IN CARDING !!!,MoneyMule217098,Adversarial Behaviours,Carding,
Information,10694,140005,TradeRoute,3.99,Recommended Vulnerable Sites for Carding,CustomerIsKing2490,,Carding,
Guides & Tutorials,12112,110621,TradeRoute,9.99,★★★ How to Trade Altcoins ★★★,Emersonsuite222100,,Cryptocurrency – Trading,
E-books,14598,131080,TradeRoute,2.99,Mastering Bitcoin 2015,pckabml143100,,Cryptocurrency – General,
E-books,11518,125836,TradeRoute,2.99,100 Deadly Skills The SEAL Operative's Guide 2015,geekgorilla7100,Other,eBooks – Other,
Guides & Tutorials,10269,105226,TradeRoute,0.5,hacking-android.,blackdawg3699,,Hacking – Mobile,
E-books,13169,102597,TradeRoute,0.11,CARDING LESSONS VOL. I,Torso215998,,Carding,
Guides & Tutorials,14897,142250,TradeRoute,0.99,7 Reasons A Credit Card Gets Blocked,PinkQueen143897,Adversarial Behaviours,Carding,
E-books,173,130165,TradeRoute,0.99,Gunsmithing and Tool Making Bible,captainkirk0--,,Weaponry & Explosives,
Guides & Tutorials,3787,117511,TradeRoute,0.5,***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),GodsLeftNut210598,Malware and Attack Technology,Hacking – General,
Security,16815,285008,Hansa,2.99,A Practical Guide to Networking Privacy & Security in iOS 9 2015,pckabml,Other,eBooks – Technical,
Information,18042,149912,TradeRoute,10,[TUTO FR] Le Carding de A à Z,SplashStars3797,Adversarial Behaviours,Carding,
E-books,13875,112932,TradeRoute,1.99,♕ DELL Carding Method ♕,TheShop129697,Adversarial Behaviours,Carding,
E-Books,16629,285874,Hansa,0.99,✔ ⟁ DO IT YOURSELF GUIDE PACK 700+ ⟁ (͠≖ ͜ʖ͠≖),ElCartel,Other,eBooks – Other,
Guides & Tutorials,9604,98787,TradeRoute,4,"LIST OF OVER 10,000 CARDABLE SITES",TopNotchMoneyMaker70897,,Carding,
Guides & Tutorials,14811,157052,TradeRoute,2,Converting your CVV into a fullz,l33ter129198,Adversarial Behaviours,Carding,
Security,2351,161649,TradeRoute,50,MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,TopNotchMoneyMaker69197,,Hacking – Website,
E-books,9095,117003,TradeRoute,0.99,"Drug Abuse Handbook, 2nd Ed",captainkirk0--,,Drugs – General,
Guides & Tutorials,9624,124578,TradeRoute,0.99,♕ Anarchist's Coockbook (Updated) ♕,TheShop131997,Physical Security,Weaponry & Explosives,
Guides & Tutorials,15808,162792,TradeRoute,0.99,How To Get The Caller ID Of An Unknown Number,PinkQueen143097,,Hacking – Phreaking,
E-books,3163,140117,TradeRoute,2,How To Make A Phishing Website,MoneyMule217898,,Fraud,
Guides & Tutorials,16121,153631,TradeRoute,3,How to make Alcohol?,IronStone2393,,Drugs – Production,
Guides & Tutorials,13408,100031,TradeRoute,0.5,Hacking Exposed Web Applications.,blackdawg3999,Web and Mobile Security,Hacking – Website,
Guides & Tutorials,17585,161989,TradeRoute,1,3 Ways to cash out a CC,l33ter128598,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,1155,133964,TradeRoute,5.49,[v.1]★[CC/CVV Carding For Beginners] [n00b Friendly],BlackGohan42100,Adversarial Behaviours,Carding,
Guides & Tutorials,4055,153137,TradeRoute,2,Basic Carding Tutorial 1,Kaptein66494,Adversarial Behaviours,Carding,
Security,13244,288582,Hansa,2.99,Security and Privacy in Internet of Things IoTs 2016,pckabml,Other,eBooks – Technical,
Guides & Tutorials,16258,92698,TradeRoute,5,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker65797,,Cashing Out,
E-Books,7119,297675,Hansa,24,"Pick-10-Book List: COMMAND LINE PRO using BASH, SHELL and TERMINAL",pckabml,Other,eBooks – Technical,
Guides & Tutorials,16616,160621,TradeRoute,0.99,How To Hack Hotmail Accounts,PinkQueen140797,,Hacking – Website,
Guides & Tutorials,4105,93825,TradeRoute,0.99,♕ HOW TO SELL DRUGS ♕,TheShop130597,Drugs,Drugs – General,
