subject,New Code,LLSum,AutoCat
"☆ 3,4-mdma synthesis for beginners  ☆",Drugs – Production,99,Drugs – Production
ALL MY VIDEO TUTORIALS FOR HUGE SUCCESS IN CARDING !!!,Carding,1763,Carding
Recommended Vulnerable Sites for Carding,Carding,1797,Carding
★★★ How to Trade Altcoins ★★★,Cryptocurrency – Trading,179,Drugs – Production
Mastering Bitcoin 2015,Cryptocurrency – General,518,Cryptocurrency – General
100 Deadly Skills The SEAL Operative's Guide 2015,eBooks – Other,277,eBooks – Other
hacking-android.,Hacking – Mobile,0,Weaponry & Explosives
CARDING LESSONS VOL. I,Carding,1687,Carding
7 Reasons A Credit Card Gets Blocked,Carding,239,Carding
Gunsmithing and Tool Making Bible,Weaponry & Explosives,50,eBooks – Technical
***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),Hacking – General,340,Hacking – General
A Practical Guide to Networking Privacy & Security in iOS 9 2015,eBooks – Technical,132,Anonymity – Other
[TUTO FR] Le Carding de A à Z,Carding,1650,Carding
♕ DELL Carding Method ♕,Carding,1734,Carding
✔ ⟁ DO IT YOURSELF GUIDE PACK 700+ ⟁ (͠≖ ͜ʖ͠≖),eBooks – Other,49,Modifying Credit
"LIST OF OVER 10,000 CARDABLE SITES",Carding,351,Carding
Converting your CVV into a fullz,Carding,117,Cashing Out
MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,Hacking – Website,285,Hacking – General
"Drug Abuse Handbook, 2nd Ed",Drugs – General,138,Drugs – General
♕ Anarchist's Coockbook (Updated) ♕,Weaponry & Explosives,45,eBooks – Technical
How To Get The Caller ID Of An Unknown Number,Hacking – Phreaking,325,Hacking – Phreaking
How To Make A Phishing Website,Fraud,451,Drugs – Production
How to make Alcohol?,Drugs – Production,486,Drugs – Production
Hacking Exposed Web Applications.,Hacking – Website,284,Hacking – General
3 Ways to cash out a CC,Cashing Out,769,Cashing Out
[v.1]★[CC/CVV Carding For Beginners] [n00b Friendly],Carding,1659,Carding
Basic Carding Tutorial 1,Carding,1722,Carding
Security and Privacy in Internet of Things IoTs 2016,eBooks – Technical,137,Anonymity – Other
HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,Cashing Out,822,Cashing Out
"Pick-10-Book List: COMMAND LINE PRO using BASH, SHELL and TERMINAL",eBooks – Technical,451,eBooks – Technical
How To Hack Hotmail Accounts,Hacking – Website,234,Hacking – Website
♕ HOW TO SELL DRUGS ♕,Drugs – General,428,Drugs – General
Cannabinoids as Therapeutics,Drugs – General,32,Drugs – General
Hacking: Hacking Practical Guide for Beginners,Hacking – General,619,Hacking – General
Anonymous SMS Spoofer (buy 1 get 1 free),Anonymity – Other,191,Anonymity – Other
Predator Empire Drone Warfare and Full Spectrum Dominance 2016,eBooks – Technical,72,eBooks – Technical
"NEW PRIVATE CC TO BTC GUIDE (AMAZON, ITUNES, EBAY)",Cashing Out,946,Cashing Out
PUREVPN.COM - ★PREMIUM ACCOUNT★ [LIFETIME],Anonymity – VPN,256,Anonymity – VPN
carding  Etsy online marketplace,Carding,1599,Carding
The Cannabis Breeders Bible The Definitive Guide 2005,Drugs – Production,265,Drugs – General
HOW TO MAKE MONEY WITH YOUR RAT SLAVES,Other,466,Drugs – Production
CARDING - CC To BTC,Carding,1607,Carding
CC to Moneygram,Cashing Out,496,Cashing Out
PRIVATE UNDERGROUND AMAZON CARDING GUIDE,Carding,1605,Carding
Ethereum and Bitcoin The Bundle Guide 2017,Cryptocurrency – General,517,Cryptocurrency – General
How to Make Amphetamine WITH PHOTOS,Drugs – Production,687,Drugs – Production
"OVER 970 ""FOR DUMMIES"" EBOOKS ONLY $5",eBooks – Other,178,eBooks – Other
HIDEMYASS.COM – VPN – ★PREMIUM ACCOUNT★ [LIFETIME],Anonymity – VPN,573,Anonymity – VPN
BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Cashing Out,1082,Cashing Out
ANONYMOUS SAFE EMAIL ACCOUNT,Anonymity – Other,236,Anonymity – VPN
LIST OF CARDABLE VIRTUAL PRODUCT WEBSITES,Carding,266,Carding
Propellants and Explosives,Weaponry & Explosives,50,eBooks – Technical
Platinum Virtual Carder Handbook (UVCH) 2.11,Carding,278,Carding
"The Carding Guide, All The Knowledge. SUPER-GUIDE.",Carding,1741,Carding
Complete Guide into learning Photoshop,eBooks – Technical,67,eBooks – Technical
CARDING - CC Cashout Guide - Rabbit Method,Carding,1710,Carding
[TUTO FR] Vérifier le solde d'une CC / CC check,Carding,779,Cashing Out
The Complete Guide to Gunsmithing Gun Care and Repair 2015,Weaponry & Explosives,219,Cashing Out
Pick-10-Book List: PYTHON Programming and Web Application Frameworks,eBooks – Technical,767,eBooks – Technical
Drone Warfare and Lawfare in a Post Heroic Age 2016,Other,67,eBooks – Technical
GUNSMITHING 101 - Make Guns And Gun Accessories,Weaponry & Explosives,276,Drugs – Production
How To Pass Your Fake ID,Resources – Identity Documents,179,Drugs – Production
***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),Hacking – General,340,Hacking – General
The Little Black Book of Computer Viruses,Malware Authorship,233,eBooks – Other
Anarchist Cookbook 4,Weaponry & Explosives,11,Digital Forensics
♕ CVV Cashout Via BTC ♕,Cashing Out,1123,Cashing Out
WiFi Hacking + FREEBIES,Hacking – Wireless Networks,284,Hacking – General
Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,Cashing Out,838,Cashing Out
279 Passport Scans From All Around The World,Resources – Identity Documents,198,Resources – Identity Documents
carding apple TUTORIAL,Carding,1736,Carding
Ultimate Hacking Megapack 14gb,Hacking – General,349,Hacking – General
**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,Fraud,100,Fraud
Deal The First Deadly Blow,eBooks – Other,127,eBooks – Other
CSS The Definitive Guide 4th edition early release 2017,eBooks – Technical,220,eBooks – Technical
Machine Learning and Security early release 2017,eBooks – Technical,211,eBooks – Technical
****Double your Bitcoins****,Cryptocurrency – General,144,Cryptocurrency – General
How to Grow Practically Everything,Drugs – Production,427,Drugs – Production
Jesse Venturas Marijuana Manifesto 2016,Drugs – General,103,Drugs – Production
How to Get a New Credit Report Identity (Tested & Works),Modifying Credit,240,Modifying Credit
"Drugs The Straight Facts, Antidepressants",Drugs – General,1209,Drugs – General
macOS Sierra For Dummies 2016,eBooks – Technical,56,eBooks – Technical
★ MASSIVE HACKPACK ★ 3GB ★ UPDATED ★,Hacking – General,116,Hacking – General
"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",Carding,1608,Carding
★ ANONIMITY STARTPACK - 24 Essential Guides ★,Anonymity – Other,90,Anonymity – Other
11 SEO Mistakes You Must Avoid On Your Website,SEO,226,SEO
Everyday Anarchy,eBooks – Other,17,eBooks – Other
How to add your own trade lines(Clone),Modifying Credit,298,Modifying Credit
Paypal transfer + cashout money guide,Cashing Out,1158,Cashing Out
"Dictionary of Deities and Demons in the Bible, Second Edition",eBooks – Other,186,eBooks – Other
Carding basic concepts & terminologies,Carding,1629,Carding
COINBASE BTC CASHOUT GUIDE SYSTEM 2017,Cashing Out,1070,Cashing Out
"Drugs The Straight Facts, Barbiturates",Drugs – General,1209,Drugs – General
HOW TO SHIP MARIJUANA★AND NOT GET CAUGHT,Transportation/Stealth,179,Drugs – Production
Wicca and Witchcraft E-Books Collection,eBooks – Other,115,eBooks – Other
ʙɪᴛᴄᴏɪɴ ᴍɪʟɪᴏɴᴀɪʀᴇ ᴠᴏʟ.ɪ,Cryptocurrency – General,0,Weaponry & Explosives
Protect Your Digital Life The Online Security Guide 2016,eBooks – Technical,132,Cashing Out
Setup Anonymous PayPal,Anonymity – Other,436,Cashing Out
HOW TO USE BITCOIN ANONYMOUSLY,Cryptocurrency – General,502,Cryptocurrency – General
FULLZ PHISHING GUIDE,Fraud,181,Fraud
Amphetamine Synthesis - Very Easy With Photos,Drugs – Production,338,Drugs – Production
Pick-a-Book List: JAVA Programming and Web Application Frameworks,eBooks – Technical,780,eBooks – Technical
❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT,Carding,1691,Carding
Amphetamine Synthesis Gold Pack with Pictures,Drugs – Production,279,Drugs – Production
Multitenancy with Rails 2016,eBooks – Technical,64,eBooks – Technical
Learning Bitcoin 2015,Cryptocurrency – General,462,Cryptocurrency – General
How to Get a New Credit Report Identity (Tested & Works),Modifying Credit,240,Modifying Credit
Tor and the Dark Art of Anonimity,Anonymity – Tor,632,Anonymity – Tor
100% LEGAL MAKE A TON OF MONEY TRADING ALT-COINS,Cryptocurrency – Trading,654,Cryptocurrency – Trading
"Organic Marijuana, Soma Style: The Pleasures of Cultivating",Drugs – Production,166,Drugs – General
CASHOUT USA FULLZ TO BITCOIN SAME DAY,Cashing Out,790,Cashing Out
300+ Daily,Other,20,Cashing Out
★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,Other,119,Other
Sex: The World's Favorite Pastime Fully Revealed,Other,120,Drugs – General
SEVEN NOOB METHODS CREDIT CARD >> BTC 2017,Cashing Out,538,Cashing Out
★TORSO'S★ Chinese Goods Carding Guide,Carding,1667,Carding
How to Make Meth [Fast Shipping],Drugs – Production,588,Drugs – Production
♕ Collection of Esoteric Ebooks ♕,eBooks – Other,232,eBooks – Other
"Anonymous - Everything about being Anonymous ( Safety Comes First ) Socks , VPN ,",Anonymity – VPN,338,Anonymity – Other
VMware Software for Carding + KEY Original Price $299,Carding,1682,Carding
CASHOUT USA FULLZ TO BITCOIN SAME DAY,Cashing Out,790,Cashing Out
Improvised Munitions Black Book Vol 1,Weaponry & Explosives,74,eBooks – Other
Amazon Refund Scam,Fraud,582,Fraud
Three Steps To Handle A Subpoena & Protect Your Privacy,Anonymity – Other,193,Anonymity – Other
How To Get Netflix Premium For Free,Hacking – Website,276,Anonymity – VPN
VMware Software for Carding + KEY Original Price $299,Carding,1682,Carding
How to use PGP better ( newbie guide ),PGP/GPG,298,PGP/GPG
Getting Started With Raspberry Pi 3rd edition 2016,eBooks – Other,225,eBooks – Technical
★ [How To Login Successfully 99% To Hacked Paypal Acc]★,Carding,735,Cashing Out
"Dating scam more than $1,000",Fraud,428,Fraud
MAKE BIG MONEY WITH BANK LOGINS,Carding,287,Drugs – Production
7 Reasons Your Credit Card Gets Blocked.,Carding,242,Carding
How To Order From Cracked Amazon Accounts,Fraud,183,Drugs – Production
★ 2017 SQUAREUP PRIVATE CASHOUT GUIDE WITH FREE CC★,Cashing Out,625,Cashing Out
iOS 10 A Take Control Crash Course 2016,eBooks – Technical,61,eBooks – Technical
How To Card Nike,Carding,179,Drugs – Production
How to Smoke Pot Properly A Highbrow Guide to Getting High,Drugs – General,233,Drugs – Production
Developer Testing Building Quality into Software 2016,eBooks – Technical,19,eBooks – Technical
CC to cash very easily,Cashing Out,541,Cashing Out
How To Make DMT,Drugs – Production,505,Drugs – Production
How To Make Drugs (Tutorials Pack),Drugs – Production,465,Drugs – Production
Carding 20k to BTC for $100,Carding,1623,Carding
"Ultimate Uber Package (Get UNLIMITED Free Rides + Make $3,000+ a Month as Fake Uber Driver)",Hacking – Mobile,281,Drugs – Production
VIDEO How To CARD SAMSUNG S8/iPhone 7 [06/06/2017],Carding,185,Carding
CSS Floating 2016,eBooks – Technical,53,eBooks – Technical
"THE CARDING BUSINESS, UNDERSTAND HOW IT WORKS",Carding,1664,Carding
Hacking Wireless Networks For Dummies.,Hacking – Wireless Networks,296,Hacking – General
absorption_of_nitrous_gases,eBooks – Other,4,eBooks – Other
TRANSFER FROM HACKED PAYPAL ACCOUNTS 2017,Cashing Out,737,Cashing Out
Guide To Postal Smuggling,Transportation/Stealth,276,Transportation/Stealth
HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,Cashing Out,822,Cashing Out
CRACKING WIFI,Hacking – Wireless Networks,225,Hacking – Wireless Networks
★ BANK DROPS GUIDE ★,Other,68,Other
"BIGGEST FRAUD PACKAGE ON DEEPWEBCarding,Cashout,Paypal,CC...",Fraud,1371,Cashing Out
"Links to websites that sell CC's, Paypal, Bank logins",Carding,887,Cashing Out
How To Buy Bitcoins With Your Credit Card.,Cashing Out,264,Cashing Out
♕ CANNABIS GUIDES PACK ♕,Drugs – General,66,Drugs – Production
A TO Z MOBILE CHECK FRAUD,Fraud,475,Fraud
★Paypal and CVV Cashout 2017 ★,Cashing Out,671,Cashing Out
CASHOUT OF BANK ACCOUNT GUIDE,Cashing Out,637,Cashing Out
★[CC/CVV Balance Checker+Live Or Dead]★,Carding,140,Carding
How To Be A Pro Carder + 2 VIDEOS,Carding,201,Carding
How to make alcohol,Drugs – Production,486,Drugs – Production
CARDING BANK TRANSFERS 100% working method,Carding,1725,Carding
Bitcoin Beginner's Guide,Cryptocurrency – General,504,Cryptocurrency – General
Simple method $50- $100 a day no investment.,Other,98,Carding
"Marijuana Chemistry: Genetics, Processing, Potency 2nd Edition",Drugs – General,164,Drugs – Production
R for Everyone Advanced Analytics and Graphics 2014,eBooks – Technical,112,eBooks – Technical
MAKE BIG MONEY WITH BANK LOGINS,Carding,287,Drugs – Production
"MAKE $10,000+ A WEEK CASHING OUT WESTERN UNION",Cashing Out,450,Cashing Out
♕ MAKE $ SCAMMING PAY-PER-CALL OFFERS ♕,Fraud,272,Drugs – Production
How To Make Cocaine,Drugs – Production,545,Drugs – Production
