Category,Posts,market
General Category/Abraxas Market,1,abraxas
Official/Announcements,4,abraxas
General Category/Security,56,abraxas
General Category/Bug report,117,abraxas
General Category/Scams,134,abraxas
General Category/Newbie Questions,160,abraxas
General Category/Offtopic,189,abraxas
General Category/Vendor discussion,829,abraxas
General Category/General Discussion,846,abraxas
General Category/Referrals,273964,abraxas
Other Languages/French,1,andromeda
Other Languages/Russian,1,andromeda
Other Languages/Other,3,andromeda
Other Languages/Spanish,5,andromeda
Other Languages/Dutch,7,andromeda
Other Languages/German,10,andromeda
Off Topic/Drugs,21,andromeda
Off Topic/Off Topic,34,andromeda
Off Topic/Security,34,andromeda
Support/Feature Requests,39,andromeda
General Category/News & Announcements,43,andromeda
Market/Requests,68,andromeda
General Category/Andromeda Discussion,88,andromeda
Support/Questions,112,andromeda
Market/Products,129,andromeda
General Category/General Discussion,138,andromeda
Market/Sellers,161,andromeda
Blue Sky,1,blackbank
Hydra,1,blackbank
Pandora,1,blackbank
Silk Road 2,1,blackbank
Tor Bazaar,1,blackbank
Welcome to BlackBank Forum,1,blackbank
Trash Can,3,blackbank
Cloud 9,5,blackbank
Vendor Terms & Conditions,14,blackbank
Spam,19,blackbank
Forbidden Goods,21,blackbank
FUD,22,blackbank
Watchdog,33,blackbank
Evolution,43,blackbank
How-To,79,blackbank
Agora,89,blackbank
Off-Topic,101,blackbank
Bug Reports,132,blackbank
Security,175,blackbank
Feature Requests,193,blackbank
Wanted,277,blackbank
News & Announcements,279,blackbank
Fraud,315,blackbank
Scam Alerts,361,blackbank
Newbie Questions,731,blackbank
Introductions,743,blackbank
Drugs,893,blackbank
General,904,blackbank
Help Desk,1121,blackbank
Vendors,1632,blackbank
Vendor Discussion,24626,blackbank
Danish,32,bmr
Romanian,38,bmr
Polish,98,bmr
Portuguese,121,bmr
Czech and Slovakian,179,bmr
Russian,195,bmr
Spanish,302,bmr
TorDir General,302,bmr
The Classroom,312,bmr
News,561,bmr
Suomi,638,bmr
Features Announcements,674,bmr
Italian,924,bmr
Feature Requests,1178,bmr
Other stuff,1264,bmr
Safety,1341,bmr
Buying and Receiving,1378,bmr
Technical Issues,1423,bmr
Requests,1767,bmr
Carding and Data,1780,bmr
Weapons,1986,bmr
Rumor Mill,2164,bmr
Vendor discussion and feedback,2165,bmr
Selling and Shipping,2323,bmr
French,2537,bmr
Dutch,3350,bmr
Newbie Questions,3666,bmr
Off-Topic,3976,bmr
Silk Road Discussion,4482,bmr
Drugs,5267,bmr
German,10993,bmr
General,23051,bmr
Bungee54 Member Assembly/Cryptocurrencies,2,bungee54
Bungee54 Member Assembly/Legal,10,bungee54
Bungee54 Member Assembly/OpSec,12,bungee54
Bungee54 Member Assembly/WARNINGS!,13,bungee54
"Bungee54 Member Assembly/Software, hardware, web resources & tools",16,bungee54
"Bungee54 Member Assembly/Philosophy, Economics and Justice",30,bungee54
Bungee54 Member Assembly/Off Topic,59,bungee54
Bungee54 Member Assembly/Security,63,bungee54
Bungee54 Member Assembly/Drug Safety / Harm Reduction,76,bungee54
Bungee54 Member Assembly/SigSec,86,bungee54
"Bungee54 Member Assembly/B54.marketplace & Forum feature suggestions,requests and bug reports",227,bungee54
Bungee54 Member Assembly/Product Requests,346,bungee54
Bungee54 Member Assembly/Arrivals & Reviews ! Spread the Love ! ,521,bungee54
Bungee54 Member Assembly/Shipping,730,bungee54
Bungee54 Member Assembly/General Discussion,1165,bungee54
Official Market Announcements/Our Mission,1,cannabisroad2
Other Languages/Spanish,1,cannabisroad2
Other Languages/Italian,2,cannabisroad2
Cannabis Road Discussion/Legal,8,cannabisroad2
Vendors/Post anything related to vendors here       ,9,cannabisroad2
Official Market Announcements/Tutorials,11,cannabisroad2
Welcome all other market  Refugees/New Board,14,cannabisroad2
Official Market Announcements/Our Mission - New to Cannabis Road please start here,15,cannabisroad2
Other Languages/French,16,cannabisroad2
Support/Bug Reports & Bounties,31,cannabisroad2
Official Market Announcements/Coming Soon...,35,cannabisroad2
Cannabis Road Discussion/Packaging and Shipping,48,cannabisroad2
Clearnet Cannabis News/Cannabis News,57,cannabisroad2
Clearnet Cannabis News/Cannabis Research,72,cannabisroad2
Clearnet Cannabis News/Growers Garden,98,cannabisroad2
Under the Bridge/Off Topic,115,cannabisroad2
Cannabis Road Discussion/Security,153,cannabisroad2
Support/Feature Requests,153,cannabisroad2
Support/Customer Support,186,cannabisroad2
Market/Rumor Mill,221,cannabisroad2
Market/Product Requests,229,cannabisroad2
Vendors/Official Vendor Advertisements,358,cannabisroad2
Vendors/Official Vendor Review Threads,1075,cannabisroad2
Cannabis Road Discussion/General Discussion,1330,cannabisroad2
Monthly Raffle/August's Raffle - DrGreenthumb,1604,cannabisroad2
Other Languages/Spanish,1,cannabisroad3
Claims Department/Claims Department,3,cannabisroad3
Other Languages/Italian,5,cannabisroad3
Information Area/Legal,8,cannabisroad3
Support/Bug Reports & Bounties,17,cannabisroad3
Other Languages/French,18,cannabisroad3
Vendors/Cannabis Road Legacy Vendor locator,19,cannabisroad3
Information Area/Tutorials,23,cannabisroad3
Under the Bridge/Cannabis Road Relaxation Area,23,cannabisroad3
Old Business/Pre-Oct2014 Bugs etc.,30,cannabisroad3
Cannabis Road Discussion/Canna-Porn,35,cannabisroad3
Cannabis Road Discussion/Coming Soon...,36,cannabisroad3
Cannabis Road Discussion/Cannabis Research,48,cannabisroad3
Cannabis Road Discussion/Cannabis News,54,cannabisroad3
Information Area/Packaging and Shipping,63,cannabisroad3
"Old Business/""Where are you "" ",82,cannabisroad3
Cannabis Road Discussion/Growers Garden,100,cannabisroad3
Under the Bridge/Off Topic,107,cannabisroad3
Cannabis Road Discussion/Rumor Mill,112,cannabisroad3
Support/Feature Requests,135,cannabisroad3
Information Area/Security,151,cannabisroad3
Support/Community Support,175,cannabisroad3
Vendors/Product Requests,248,cannabisroad3
Old Business/Community Dump,348,cannabisroad3
Vendors/Official Vendor Advertisements,363,cannabisroad3
Vendors/Official Vendor Review Threads,1071,cannabisroad3
CR Community/MONTHLY RAFFLES - CR Vendor of the Month,1630,cannabisroad3
Off Topic/Drugs,2,darkbay
Other Languages/Dutch,3,darkbay
Market/Requests,14,darkbay
Off Topic/Off Topic,14,darkbay
General Category/DarkBay Discussion,20,darkbay
Market/Products,20,darkbay
Off Topic/Security,20,darkbay
Support/Feature Requests,21,darkbay
General Category/General Discussion,34,darkbay
Support/Questions,40,darkbay
Market/Sellers,58,darkbay
General Category/News & Announcements,86,darkbay
The League/fredthebaker,1,darknetheroes
The League/VamonosDab,1,darknetheroes
The League/SaltnPepper,2,darknetheroes
The League/StealthBomber,2,darknetheroes
The League/umbral-aeon,2,darknetheroes
The League/Vitaminstore�?�,2,darknetheroes
General Boards/Security & Anonymity,3,darknetheroes
General Boards/Cryptocurrencies,4,darknetheroes
The League/HonestCocaine,8,darknetheroes
Broadcast/Darknet News & Press,9,darknetheroes
The League/MrSaturn,11,darknetheroes
Open Beta/Feature Requests,14,darknetheroes
Broadcast/Announcements,16,darknetheroes
Open Beta/Bug Reports,41,darknetheroes
General Boards/General Discussion,74,darknetheroes
Announcements/Rules,1,diabolus
Languages/Italian,1,diabolus
Languages/German,2,diabolus
Discussions./Rumor Mill,3,diabolus
Discussions./Shipping,5,diabolus
Languages/Polish,7,diabolus
Languages/Russian,7,diabolus
,8,diabolus
Silk Road 3.0 News/Silk Road Announcements,9,diabolus
Discussions./Random,10,diabolus
Languages/French,10,diabolus
Languages/Spanish,15,diabolus
Announcements/News,16,diabolus
Silk Road 3.0 News/Security,16,diabolus
Discussions./Security,20,diabolus
Vendors/Requests,22,diabolus
Silk Road 3.0 News/Darknet News,26,diabolus
Vendors/Rumor Mill,27,diabolus
Discussions./Bitcoin,30,diabolus
Silk Road 3.0 News/Drugs,32,diabolus
Discussions./Vendor Reviews,47,diabolus
Vendors/Vendors,59,diabolus
Silk Road 3.0 News/Support,60,diabolus
Announcements/Newbie Discussions,129,diabolus
Crypto Market/Crypto Market Discussion,135,diabolus
Community/General Discussions,169,diabolus
Discussions./General Discussion,1689,diabolus
Discussions./Drugs,1694,diabolus
Community/Newbies,7207,diabolus
General Category/Rules & Infos (must-read),7,dogeroad
General Category/Help,83,dogeroad
General Category/General Discussion,101,dogeroad
General Category/Development,109,dogeroad
Weapons,1,evolution
Fraud Vendors,5,evolution
Security,9,evolution
Existing TCF Escrows,28,evolution
Physical Carding,30,evolution
Discussion,40,evolution
General,48,evolution
Virtual Carding,97,evolution
Vendors,351,evolution
Reviews,454,evolution
Monthly Raffle,662,evolution
Fraud Forum,733,evolution
Bug Bounties,1118,evolution
World Cup 2014,2079,evolution
Fraud,2435,evolution
Announcements,2945,evolution
News,3546,evolution
Requests,3940,evolution
Introductions,12493,evolution
Fraudulent Finances,14072,evolution
Security & Anonymity,14567,evolution
Scam Reports,14955,evolution
Helpdesk,15213,evolution
Drugs Talk & Safety,17987,evolution
Other Vendors,18826,evolution
Special Offers & Free Samples,20073,evolution
Newbie Questions,21776,evolution
Guides Vendors,22791,evolution
Off-Topic,24101,evolution
Trash Can,24482,evolution
Interest Check,33316,evolution
General Discussion,34502,evolution
Wanted,34975,evolution
Finance Vendors,74875,evolution
Drugs Vendors,91700,evolution
Discussion/Vendor feedback,1,greyroad
Discussion/Newbie Zone,3,greyroad
Discussion/Off Topic,4,greyroad
Support/Bug reports,4,greyroad
Discussion/The Grey Road,31,greyroad
Drug Talk,2,havana
Bug Reports (Medium),3,havana
OpSec,3,havana
Bug Reports (High),4,havana
Announcements,6,havana
Feature Requests,6,havana
Cannabis,7,havana
Feature Request (Update),9,havana
Bug Reports (Low),20,havana
Feature Requests (New),22,havana
General Discussion,99,havana
Multisig,5,hydra
Product requests,18,hydra
Selling and Shipping,29,hydra
Buying and Receiving,32,hydra
Offtopic,36,hydra
Security,40,hydra
News,57,hydra
Product offers,115,hydra
Vendor discussion and feedback,125,hydra
General,480,hydra
General Category/Promotion,1,kingdom
Market Place Boards/Verified Market urls,2,kingdom
General Category/DN Current Affairs,7,kingdom
Market Place Boards/Bitcoin Mixers Links and Discussion,10,kingdom
Market Place Boards/Market Links,10,kingdom
General Category/Off Topic,11,kingdom
Special Boards/Languages,28,kingdom
Drug Boards/Teks,31,kingdom
General Category/Vendor Discussion,34,kingdom
General Category/General Discussion,37,kingdom
Drug Boards/Harm Reduction,48,kingdom
Market Place Boards/Vendor Promotions,52,kingdom
General Category/Market Discussion,57,kingdom
General Boards/News and Current Affairs,58,kingdom
General Boards/Shipping,63,kingdom
"General Boards/Philosophy, Economics and Justice",129,kingdom
Drug Boards/Drugs,144,kingdom
General Boards/Cryptocurrencies ,172,kingdom
"Market Place Boards/Unverified, Developing and Suspect Markets.",179,kingdom
Market Place Boards/Vendor Discussion,276,kingdom
Market Place Boards/Vendor verification,359,kingdom
General Boards/Security Discussion,442,kingdom
Market Place Boards/Market Discussion,761,kingdom
General Boards/DN Current Affairs,1567,kingdom
Special Boards/The Dungeon,1683,kingdom
General Boards/Off Topic,1975,kingdom
General Boards/General Discussion,2149,kingdom
General Category/TEKS,1,kiss
"Cummunity/Philosophy, Economics and Justice",2,kiss
General Category/Market Categories,5,kiss
General Category/Cryptocurrency,7,kiss
"Community/Philosophy, Economics and Justice",9,kiss
Vendor Category/Product Requests,10,kiss
Cummunity/Off Topic,15,kiss
Special Boards/The Void ,16,kiss
Vendor Category/Shipping,17,kiss
Community/Harm Reduction,21,kiss
Special Boards/Bugs,28,kiss
Vendor Category/Product Offers,32,kiss
Community/Off Topic,43,kiss
Official Announcments/News,54,kiss
General Category/Security Discussion,56,kiss
Vendor Category/Vendor Verification,91,kiss
General Category/General Discussion,168,kiss
Vendor Category/Vendor Discussion,358,kiss
Scandinavians,13,nucleus
Product Reviews,14,nucleus
Seller Discussion,14,nucleus
Italians,22,nucleus
Fraud Discussion,26,nucleus
Spanish,35,nucleus
Australians,44,nucleus
"Informations, News & Announcements",72,nucleus
French,358,nucleus
Germans,379,nucleus
Bug reports,498,nucleus
Harm Prevention,888,nucleus
Feature Request,1040,nucleus
Security Discussion,1213,nucleus
Tech Support,1789,nucleus
Product Request,1898,nucleus
Fraud Finances Discussion,2765,nucleus
Off Topic,3538,nucleus
Scam discussion,3890,nucleus
Advertising and promotions,6196,nucleus
Product and Vendor Reviews,40483,nucleus
 Account Service Provider ,3,outlawmarket
 Medizinische Verwendung von Drogen ,3,outlawmarket
 FAQ's (häufig gestellte Fragen) ,5,outlawmarket
 Português ,5,outlawmarket
 English (USA) ,6,outlawmarket
 Digital Currency ,7,outlawmarket
 Off Topic ,7,outlawmarket
 Guides for buyers and vendors ,8,outlawmarket
 Tripberichte ,8,outlawmarket
 Guides ,9,outlawmarket
 Italiano ,9,outlawmarket
 Francais ,11,outlawmarket
 PR ,11,outlawmarket
 Scam Alert ,11,outlawmarket
 German Board ,13,outlawmarket
 Special promotions ,15,outlawmarket
 New features ,16,outlawmarket
 English (United Kingdom) ,17,outlawmarket
 Product Requests ,18,outlawmarket
 outlaw under attack ,45,outlawmarket
 Vendor Feedback ,52,outlawmarket
 Security ,59,outlawmarket
 Product Offers ,96,outlawmarket
 Customer Support ,105,outlawmarket
 Open Discussion ,150,outlawmarket
*Welcome to Panacea Flower Sanctuary*/Admin Messages and Updates,1,panacea
Cannabis Community Vendors/* * NW-NUGZ // USA * * Direct Deals Authorized * * ,1,panacea
Community Sanctuary/NEW VENDOR EXPRESSIONS OF INTEREST,1,panacea
Community Sanctuary/PANACEA COMMUNITY VENDORS,1,panacea
Community Vendors/* * HERBANLEGENDS // usa * * Direct Deals Authorized * *  ,1,panacea
Community Welcome/INTRODUCTIONS!,1,panacea
Support Sanctuary/Information and Support,1,panacea
Cannabis Community Vendors/* * CANNACONCENTRATE //  mmj * *,2,panacea
