Category,Rand,ID,Market Name,Price,Product Name,Seller Name,New Code
E-books,16403,138295,TradeRoute,5.96,"☆ 3,4-mdma synthesis for beginners  ☆",mindTraveller13100,Drugs – Production
Information,12557,148398,TradeRoute,50,ALL MY VIDEO TUTORIALS FOR HUGE SUCCESS IN CARDING !!!,MoneyMule217098,Carding
Information,10694,140005,TradeRoute,3.99,Recommended Vulnerable Sites for Carding,CustomerIsKing2490,Carding
Guides & Tutorials,12112,110621,TradeRoute,9.99,★★★ How to Trade Altcoins ★★★,Emersonsuite222100,Cryptocurrency – Trading
E-books,14598,131080,TradeRoute,2.99,Mastering Bitcoin 2015,pckabml143100,Cryptocurrency – General
E-books,11518,125836,TradeRoute,2.99,100 Deadly Skills The SEAL Operative's Guide 2015,geekgorilla7100,eBooks – Other
Guides & Tutorials,10269,105226,TradeRoute,0.5,hacking-android.,blackdawg3699,Hacking – Mobile
E-books,13169,102597,TradeRoute,0.11,CARDING LESSONS VOL. I,Torso215998,Carding
Guides & Tutorials,14897,142250,TradeRoute,0.99,7 Reasons A Credit Card Gets Blocked,PinkQueen143897,Carding
E-books,173,130165,TradeRoute,0.99,Gunsmithing and Tool Making Bible,captainkirk0--,Weaponry & Explosives
Guides & Tutorials,3787,117511,TradeRoute,0.5,***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),GodsLeftNut210598,Hacking – General
Security,16815,285008,Hansa,2.99,A Practical Guide to Networking Privacy & Security in iOS 9 2015,pckabml,eBooks – Technical
Information,18042,149912,TradeRoute,10,[TUTO FR] Le Carding de A à Z,SplashStars3797,Carding
E-books,13875,112932,TradeRoute,1.99,♕ DELL Carding Method ♕,TheShop129697,Carding
E-Books,16629,285874,Hansa,0.99,✔ ⟁ DO IT YOURSELF GUIDE PACK 700+ ⟁ (͠≖ ͜ʖ͠≖),ElCartel,eBooks – Other
Guides & Tutorials,9604,98787,TradeRoute,4,"LIST OF OVER 10,000 CARDABLE SITES",TopNotchMoneyMaker70897,Carding
Guides & Tutorials,14811,157052,TradeRoute,2,Converting your CVV into a fullz,l33ter129198,Carding
Security,2351,161649,TradeRoute,50,MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,TopNotchMoneyMaker69197,Hacking – Website
E-books,9095,117003,TradeRoute,0.99,"Drug Abuse Handbook, 2nd Ed",captainkirk0--,Drugs – General
Guides & Tutorials,9624,124578,TradeRoute,0.99,♕ Anarchist's Coockbook (Updated) ♕,TheShop131997,Weaponry & Explosives
Guides & Tutorials,15808,162792,TradeRoute,0.99,How To Get The Caller ID Of An Unknown Number,PinkQueen143097,Hacking – Phreaking
E-books,3163,140117,TradeRoute,2,How To Make A Phishing Website,MoneyMule217898,Fraud
Guides & Tutorials,16121,153631,TradeRoute,3,How to make Alcohol?,IronStone2393,Drugs – Production
Guides & Tutorials,13408,100031,TradeRoute,0.5,Hacking Exposed Web Applications.,blackdawg3999,Hacking – Website
Guides & Tutorials,17585,161989,TradeRoute,1,3 Ways to cash out a CC,l33ter128598,Cashing Out
Guides & Tutorials,1155,133964,TradeRoute,5.49,[v.1]★[CC/CVV Carding For Beginners] [n00b Friendly],BlackGohan42100,Carding
Guides & Tutorials,4055,153137,TradeRoute,2,Basic Carding Tutorial 1,Kaptein66494,Carding
Security,13244,288582,Hansa,2.99,Security and Privacy in Internet of Things IoTs 2016,pckabml,eBooks – Technical
Guides & Tutorials,16258,92698,TradeRoute,5,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker65797,Cashing Out
E-Books,7119,297675,Hansa,24,"Pick-10-Book List: COMMAND LINE PRO using BASH, SHELL and TERMINAL",pckabml,eBooks – Technical
Guides & Tutorials,16616,160621,TradeRoute,0.99,How To Hack Hotmail Accounts,PinkQueen140797,Hacking – Website
Guides & Tutorials,4105,93825,TradeRoute,0.99,♕ HOW TO SELL DRUGS ♕,TheShop130597,Drugs – General
E-books,13881,129054,TradeRoute,0.99,Cannabinoids as Therapeutics,captainkirk0--,Drugs – General
Digital EBooks,9665,282821,Apple Market,1,Hacking: Hacking Practical Guide for Beginners,captainkirk,Hacking – General
Security,12161,293035,Hansa,1,Anonymous SMS Spoofer (buy 1 get 1 free),OnePiece,Anonymity – Other
Digital EBooks,1663,282707,Apple Market,2.99,Predator Empire Drone Warfare and Full Spectrum Dominance 2016,pckabml,eBooks – Technical
Guides & Tutorials,19599,134188,TradeRoute,6,"NEW PRIVATE CC TO BTC GUIDE (AMAZON, ITUNES, EBAY)",MoneyMule217898,Cashing Out
Security,13911,140613,TradeRoute,12,PUREVPN.COM - ★PREMIUM ACCOUNT★ [LIFETIME],colombiaconnection196799,Anonymity – VPN
Guides & Tutorials,13081,130416,TradeRoute,7,carding  Etsy online marketplace,probitexchange6100,Carding
E-books,4577,99369,TradeRoute,3.99,The Cannabis Breeders Bible The Definitive Guide 2005,pckabml143100,Drugs – Production
Guides & Tutorials,5809,110020,TradeRoute,0.6,HOW TO MAKE MONEY WITH YOUR RAT SLAVES,l33ter129398,Other
Guides & Tutorials,1574,91700,TradeRoute,4.99,CARDING - CC To BTC,Junkiepig66630498,Carding
Guides & Tutorials,4960,114710,TradeRoute,0.5,CC to Moneygram,blackdawg3999,Cashing Out
Guides & Tutorials,17261,117815,TradeRoute,13.4,PRIVATE UNDERGROUND AMAZON CARDING GUIDE,Torso216098,Carding
E-books,16901,150394,TradeRoute,3.99,Ethereum and Bitcoin The Bundle Guide 2017,pckabml143100,Cryptocurrency – General
E-books,12463,153574,TradeRoute,1.99,How to Make Amphetamine WITH PHOTOS,stevejobs66630899,Drugs – Production
E-books,5131,145088,TradeRoute,5,"OVER 970 ""FOR DUMMIES"" EBOOKS ONLY $5",TopNotchMoneyMaker69097,eBooks – Other
Security,7813,122865,TradeRoute,4.99,HIDEMYASS.COM – VPN – ★PREMIUM ACCOUNT★ [LIFETIME],colombiaconnection195899,Anonymity – VPN
Guides & Tutorials,3349,103321,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso212498,Cashing Out
Security,12042,285405,Hansa,1,ANONYMOUS SAFE EMAIL ACCOUNT,bank,Anonymity – Other
Guides & Tutorials,759,94897,TradeRoute,2,LIST OF CARDABLE VIRTUAL PRODUCT WEBSITES,kingvendor0--,Carding
E-books,3398,106860,TradeRoute,0.99,Propellants and Explosives,captainkirk0--,Weaponry & Explosives
Information,7835,91718,TradeRoute,20,Platinum Virtual Carder Handbook (UVCH) 2.11,TopNotchMoneyMaker68897,Carding
Guides & Tutorials,16234,98134,TradeRoute,3.5,"The Carding Guide, All The Knowledge. SUPER-GUIDE.",l33ter127898,Carding
E-Books,10639,291997,Hansa,0.99,Complete Guide into learning Photoshop,ProfessorDark,eBooks – Technical
Guides & Tutorials,18001,127065,TradeRoute,7,CARDING - CC Cashout Guide - Rabbit Method,hocker1191,Carding
Information,9517,129300,TradeRoute,2,[TUTO FR] Vérifier le solde d'une CC / CC check,SplashStars3797,Carding
E-books,6842,161885,TradeRoute,2.99,The Complete Guide to Gunsmithing Gun Care and Repair 2015,pckabml143100,Weaponry & Explosives
E-Books,16290,297107,Hansa,24,Pick-10-Book List: PYTHON Programming and Web Application Frameworks,pckabml,eBooks – Technical
Digital EBooks,3020,282620,Apple Market,2.99,Drone Warfare and Lawfare in a Post Heroic Age 2016,pckabml,Other
Security,7703,136295,TradeRoute,10,GUNSMITHING 101 - Make Guns And Gun Accessories,TheWealthMaker27897,Weaponry & Explosives
Guides & Tutorials,18439,156342,TradeRoute,1,How To Pass Your Fake ID,thekindcalf16100,Resources – Identity Documents
E-books,9726,103871,TradeRoute,0.5,***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),GodsLeftNut208198,Hacking – General
Guides & Tutorials,6629,156922,TradeRoute,4.99,The Little Black Book of Computer Viruses,Junkiepig66630398,Malware Authorship
Guides & Tutorials,16665,96974,TradeRoute,2.99,Anarchist Cookbook 4,pckabml135100,Weaponry & Explosives
Information,17928,126926,TradeRoute,2.99,♕ CVV Cashout Via BTC ♕,TheShop131697,Cashing Out
Others Guides,3302,282680,Apple Market,1.59,WiFi Hacking + FREEBIES,YourPartnerInCrime,Hacking – Wireless Networks
Guides & Tutorials,8926,133945,TradeRoute,25,Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,DAY-ONE3100,Cashing Out
Guides & Tutorials,9938,98272,TradeRoute,1.33,279 Passport Scans From All Around The World,PrawnCracker32799,Resources – Identity Documents
E-Books,9834,293452,Hansa,1.99,carding apple TUTORIAL,MoneyMakerKid,Carding
E-books,6337,120208,TradeRoute,10,Ultimate Hacking Megapack 14gb,OnePiece36100,Hacking – General
Guides & Tutorials,11807,93823,TradeRoute,10,**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,ZANGO0--,Fraud
eBooks,7309,91582,Silk3,3,Deal The First Deadly Blow,Junkiepig666,eBooks – Other
E-books,11929,126109,TradeRoute,3.99,CSS The Definitive Guide 4th edition early release 2017,pckabml143100,eBooks – Technical
Security,2700,108628,TradeRoute,3.99,Machine Learning and Security early release 2017,pckabml143100,eBooks – Technical
Guides & Tutorials,7636,117968,TradeRoute,30,****Double your Bitcoins****,ShroomPrince6399,Cryptocurrency – General
E-books,19637,160851,TradeRoute,2,How to Grow Practically Everything,ProfessorDark20198,Drugs – Production
Digital EBooks,17525,282666,Apple Market,2.99,Jesse Venturas Marijuana Manifesto 2016,pckabml,Drugs – General
Information,17596,148084,TradeRoute,0.5,How to Get a New Credit Report Identity (Tested & Works),TopHatMan9100,Modifying Credit
E-books,9792,120054,TradeRoute,0.85,"Drugs The Straight Facts, Antidepressants",love2xlr811992,Drugs – General
Digital EBooks,9549,282673,Apple Market,2.99,macOS Sierra For Dummies 2016,pckabml,eBooks – Technical
Security,18015,132294,TradeRoute,2.99,★ MASSIVE HACKPACK ★ 3GB ★ UPDATED ★,TheShop134197,Hacking – General
E-books,1353,95030,TradeRoute,8,"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",TheWealthMaker27797,Carding
Security,3571,155388,TradeRoute,1.99,★ ANONIMITY STARTPACK - 24 Essential Guides ★,TheShop132197,Anonymity – Other
E-books,1681,162303,TradeRoute,10,11 SEO Mistakes You Must Avoid On Your Website,Aracay152100,SEO
E-Books,10989,294500,Hansa,0.99,Everyday Anarchy,OnePiece,eBooks – Other
E-books,1837,121289,TradeRoute,800,How to add your own trade lines(Clone),DollarsnPounds6100,Modifying Credit
Guides & Tutorials,9592,103518,TradeRoute,4.01,Paypal transfer + cashout money guide,Torso216098,Cashing Out
Digital EBooks,4560,282812,Apple Market,1,"Dictionary of Deities and Demons in the Bible, Second Edition",captainkirk,eBooks – Other
Guides & Tutorials,9811,98614,TradeRoute,2.18,Carding basic concepts & terminologies,james202027799,Carding
Information,13334,136783,TradeRoute,10,COINBASE BTC CASHOUT GUIDE SYSTEM 2017,TopNotchMoneyMaker65797,Cashing Out
E-books,14953,156997,TradeRoute,0.85,"Drugs The Straight Facts, Barbiturates",love2xlr811992,Drugs – General
Guides & Tutorials,15882,116573,TradeRoute,1.99,HOW TO SHIP MARIJUANA★AND NOT GET CAUGHT,beagleman32698,Transportation/Stealth
E-Books,1437,295906,Hansa,0.99,Wicca and Witchcraft E-Books Collection,captainkirk,eBooks – Other
Security,11015,124192,TradeRoute,15,ʙɪᴛᴄᴏɪɴ ᴍɪʟɪᴏɴᴀɪʀᴇ ᴠᴏʟ.ɪ,Torso216098,Cryptocurrency – General
Digital EBooks,15567,282725,Apple Market,2.99,Protect Your Digital Life The Online Security Guide 2016,pckabml,eBooks – Technical
Guides & Tutorials,18348,141326,TradeRoute,4.49,Setup Anonymous PayPal,P4YPAL3199,Anonymity – Other
Security,3292,284907,Hansa,7,HOW TO USE BITCOIN ANONYMOUSLY,bank,Cryptocurrency – General
E-books,12527,151044,TradeRoute,5,FULLZ PHISHING GUIDE,Torso216098,Fraud
Guides & Tutorials,5243,162406,TradeRoute,4.99,Amphetamine Synthesis - Very Easy With Photos,Junkiepig66630498,Drugs – Production
E-Books,2990,297603,Hansa,2.99,Pick-a-Book List: JAVA Programming and Web Application Frameworks,pckabml,eBooks – Technical
Information,2197,145581,TradeRoute,1.06,❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT,Torso216098,Carding
Guides & Tutorials,6829,121817,TradeRoute,2.07,Amphetamine Synthesis Gold Pack with Pictures,james202027799,Drugs – Production
E-books,3064,106592,TradeRoute,2.99,Multitenancy with Rails 2016,pckabml143100,eBooks – Technical
E-books,18686,145517,TradeRoute,2.99,Learning Bitcoin 2015,pckabml143100,Cryptocurrency – General
Information,19827,112371,TradeRoute,0.5,How to Get a New Credit Report Identity (Tested & Works),TopHatMan9100,Modifying Credit
Guides & Tutorials,10471,139875,TradeRoute,0.5,Tor and the Dark Art of Anonimity,xfuckx44998,Anonymity – Tor
Information,8125,131362,TradeRoute,25,100% LEGAL MAKE A TON OF MONEY TRADING ALT-COINS,TopNotchMoneyMaker68497,Cryptocurrency – Trading
E-books,7631,98952,TradeRoute,0.99,"Organic Marijuana, Soma Style: The Pleasures of Cultivating",captainkirk0--,Drugs – Production
Guides & Tutorials,9635,160903,TradeRoute,11,CASHOUT USA FULLZ TO BITCOIN SAME DAY,Torso215998,Cashing Out
Guides & Tutorials,3892,140403,TradeRoute,0.5,300+ Daily,blackdawg3999,Other
Information,8409,123118,TradeRoute,1.99,★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,TheShop132197,Other
