thread_id,subject,New Code
44164,OPSec for Windows,
19619,VPN you can recommend?,Anonymity – VPN
13093,Emergency Lawyer Fund??,
3595,copying pgp key help???,PGP/GPG
6330,btc is falling deep... any reason?!,
956,"Relays, I2P, TrueCrypt, misc. ",
23788,Blockchain Shared Coin DISABLED?,
38011,making sure I have PGP understood.,PGP/GPG
4747,Need advice on shipment tracking,
11766,Encrypting the encrypted quick tip,PGP/GPG
1114,CLEARNET WARNING,
9521,Deposit Adresses ,
29021,Has anybody had large orders get siezed/lost but no concenquences?,
19627,Mac users with Adium beware...,
38983,What is the best free VPN to browse clearnet?,Anonymity – VPN
28,Security 201- Anon email tutorial,Anonymity – Other
27979,Successful withdraws from localbtcs???,
3743,New Tor Browser Bundle (2.3.25-15) Linux / Win / OSX,
20492,Electrum onion servers?,
7798,encryption app for Google and Apple phones?,
20988,A Reminder to Vendors Regarding Fingerprints on Packaging,
21884,Whats your opinion of the death penalty for smuggling class A drugs  ?,Drugs – General
43395,is this better?,
44850,TBB coming up as Malware...,
38022,"Captchas often ""mistyped"" the first time - possible threat?",
8476,New: Tor pluggable transports Browser Bundle (2.4.18-rc-2) Linux x86_64 & x86,
26911,magic lantern our worst nightmare,
7061,"can't start gpg4usb in linux, Linux wizards please help",PGP/GPG
27082,all my encrypted PM's vanished? ??,
53084,Printing in tails?,Anonymity – Other
46658,Problem with tails,Anonymity – Other
39681,Tor bundle and gpg4usb on USB drive and use on different computers,
10845,"Double the encryption, double the fun!",
2941,Ultimate theoretical security,
45507,Picture Help,Other
38125,Delete Your Messages!!,
47567,Keeping Stamps,
10426,How to exercise your 5th Ammendment rights?,
37178,Was silk road affected by the SSL bug,
2780,Where should I hedge my coins?,
28149,Advice on file shredder.,Digital Forensics
2489,TRUST,Other
5837,PGP for Mac OsX users !,PGP/GPG
36467,What does Silk Road have to do to keep safe from the ssl attack,
3867,Destroying your drugs in front of LE,Drugs – General
21393,BLOCKCHAIN,Cryptocurrency – General
7128,Darknet/SR Videos for PGP?,
20356,Tumble round numbers through shared send!,
853,Vendor question,
25098,Bitcoin dropping fast!!!,Cryptocurrency – General
44482,Help!!    EDIT: Nevermind I got it,
31172,Tails timming out on internet?,Anonymity – Other
5634,Bad Sig on new TAILS!,
31376,Poll to create Cryptocurrency board,
1450,How exactly to run TOR then a VPN & better security with 2 x active VPN services,
384,Setting Up a Secure Point of Access Questions,
22217,Can you install bitmessage on tails?,
4518,Ex Government or LE Advice Thread,
11641,VPN+tor? or just tor?,
36323,Question about tor,
42740,pgp question.....so close !!!,
11918,Tails through VPN via 2nd computer?,
34294,How would on recieve a package from a vendor that does not ship to your country?,
2604,Bitcoin help?,Cryptocurrency – General
66490,TAILS 1.2 Tor Browser,
11715,tips on combatting LE,
23608,Tor browser bundle 3.5.2 DOWNLOAD NOW!!!,
22671,FOR YOUR SAFETY STOP - TESCO VOUCHERS,
43827,can someone send me a msg,
22589,No More Blockchain Shared Send,
49713,about the key expire question,
24072,Non photo id,
11806,researchers-crack-4096-bit-rsa-encryption-with-a -microphone,
38374,usb encryption facility that is portable between windows and linux,
7463,How does one fight a DDoS or DoS  Attack? ,
305,Can someone explain what signing and verifying is in PGP?,
48071,Best method/tool for full disk encryption?,
37395,Decrypting mail with gpg4win,
2316,BTC value on bitstamp $8.10 USD above MtGox,
3496,Best image uploader?,
22951,"another ""my bitcoins dissapeared"" thread",
20301,OPSEC question for a reseller,
9050,best way to buy and sell bitcoins to transfer to site to not be traceable,
24473,Best place to buy bitcoins?,Cryptocurrency – General
3879,Is there a PIN for SR?,
46460,Question about Âµtorrent,
50733,Time to update TOR everyone,Anonymity – Tor
30973,Spying | Helicopter Surveillance,
41803,cash??,
66342,3 Felonies Sales And Narcotics Related .... Advice?,
43454,Simple USB encryption method ,
15350,Police and searches ie car and home,
2512, help i need money for my mother,
64552,DEA stopped by my friends house yesterday...,
42771,my new 16384 bit rsa pgp key ,
3440,"Get you bitcoins here, we are open",
47782,TAILS GNU applet won't recognize pass for my key,
198,[Intel] DEA Confidential Informants,
40842, How to know if I'm being followed? Riding a car or on foot ...,
47018,New Cantina Marketplace and Tails,
22039,Silkroad phishing page,
11144,New User,
7279,VPN & Tor combo question,Anonymity – VPN
23753,Mt Gox ,
47096,"new Tor Browser Bundle 3.6.3 -- Jul 24 2014 {Linux, OSX, Windows}",
728,Disable scripts globally in TB ,
38007,Best vending wallet??,
21204,My new btc wallet stuck at 83 weeks...any help wud b awesome,
31274,Do TXT files have personal metadata?,
20549,Block chain shared send.,
54018,For some reason my PGP key just stopped working and need some help...,
