thread_id,subject,New Code,LLSum,AutoCat
56118,Do LE could change my DNS server?,Anonymity – Other,,
55989,HOw send email to multiple addresses completely anonymous?,Anonymity – Other,,
42562,question about tails,Anonymity – Other,,
44806,DHCP is not enabled ???,Anonymity – Other,,
1045,ip-score.com,Anonymity – Other,,
4474,buner phone app,Anonymity – Other,,
54980,Problem using Socks with Firefox,Anonymity – Proxies,,
50323,Need a good socks5 provider (no VIP72 thanks),Anonymity – Proxies,,
53640,Best VPN/SOCKS to use?,Anonymity – Proxies,,
209,VPN Socks Proxy????,Anonymity – Proxies,,
55095,How to use SOCKS5 as last in chain?,Anonymity – Proxies,,
43246,Bad socks or GEO located by HTML5?,Anonymity – Proxies,,
20278,How To Use Proxies Guide,Anonymity – Proxies,,
56482,Anonymity:Download files with tor under tails,Anonymity – Tor,,
33082,Tor Project - TAILS for Dummies!,Anonymity – Tor,,
52723,Tor by itself is not enough - Whats the highest security you can get?,Anonymity – Tor,,
55122,How to configure VPN-Whonix-VPN-Tor-Socks5 ?,Anonymity – VPN,,
55613,"VPN not stable, need help plz",Anonymity – VPN,,
31110,CONvenient Live Tutoring [Skrill/Paypal/Venmo/Auto-/Virtual Carding],Carding,,
47544,[GUIDE] Square Cashout. Make $500 a day from CCs. Make Bank Drops.,Carding,,
47544,[GUIDE] Square Cashout. Make $500 a day from CCs. Using Prepaid Drops,Carding,,
1247,Using Carded items is it safe?,Carding,,
920,Card thousands a week [Private Method],Carding,,
52890,­CARD ANYTHiNG VIA 3RD PARTY! // VOUCHED & PROVEN // $350+/DAY,Carding,,
52890,­ CARD ANYTHiNG VIA 3RD PARTY! // VOUCHED & PROVEN // $350+/DAY,Carding,,
27998,[Vouched] All-In-One Carding/Hacking/Spamming,Carding,,
13284, ~ THE VERY BEST CARDERS AND GET MONEY GUIDE v4 ~ ,Carding,,
3088,Private Carding [1 BTC][4 LEFT],Carding,,
45636,"CC shops list ""CCSHOPROJ"", by Projeccao (English and franÃ§ais)",Carding,,
25577,Sell CVV ::SELL TRACK2 ::Buy CC::SELL PayPal ::SELL EBAY ACCOUNTS::,Carding,,
8880, | The Four Horsemen | Permanent Vacation CVV Cashout,Cashing Out,,
52496,[METHOD] [$$$] Coin's guide from Fullz & Skrill to BTC/WU! [$$$],Cashing Out,,
649,Paypal to BTC Cashout,Cashing Out,,
54023,MyCashout [ Reviewed & Vouched ],Cashing Out,,
407,CC > Paypal Method,Cashing Out,,
56681,Is bitcoin blender a scam now?,Cashing Out,,
46403,[VOUCHED] $$$ CVV Cashing to iBan Guide $$$ 3k per week!,Cashing Out,,
52753,**CASHOUT HACKED PAYPALS!!** No bank drop needed! CASHOUT TODAY! $$$$$,Cashing Out,,
55157,Cashing out ccv with skrill easy -make 300$ ea CCV,Cashing Out,,
54520,DexterMorganCVV's Premium Paypal Guide[40$] -FREE US FULL w.purchase,Cashing Out,,
1013,Selling Paypal to BTC method,Cashing Out,,
815,New Paypal Doubling Service/Method,Cashing Out,,
53927,The PayPal Cashout,Cashing Out,,
56566,CC2BTC 2015 SHOP No FAKE PROFIT ClaimsOld & Trusted Vendor,Cashing Out,,
56609,Safe These Days To Use An ATM To Cashout?,Cashing Out,,
873,CashCash CC to BTC guide,Cashing Out,,
13503,[VOUCHED] Blackhat Paypal Pack,Cashing Out,,
8647,CASHOUT PAYPAL TO BTC (videos + tutos + software )***FULL PACK 2015***,Cashing Out,,
24151,Paypal Transfer Guide,Cashing Out,,
11153,PayPal To BTC - Vouched [ 0.3 BTC ] Newbie Friendly,Cashing Out,,
20790,(VOUCHED) open real bank accounts,Cashing Out,,
14256,[VOUCHED]The ScoobyJew Cashout [Limited time offer],Cashing Out,,
38487,[VOUCHED] TG - Paypal DOUBLEUP Guide - V1.0,Cashing Out,,
22842, Paypal Ninja  How to Transfer from Hacked Paypal Accounts!,Cashing Out,,
43320,The Amazon Mine & The Starbucks Cashouts,Cashing Out,,
32192,"MISTERBITCOIN's PAYPAL GUIDE - Transfers, middle mans, cash outs!!",Cashing Out,,
27559,£££StrattonOakmont's Amazon Cashout£££   Now only 50$,Cashing Out,,
6669,[Best Seller] [Exclusive] Donald Trumps Mega Cash Out v3.0,Cashing Out,,
55804,Free Anonimcoin any good?,Cryptocurrency – General,,
55518,LocalBitcoin->Tumbler->Evo,Cryptocurrency – General,,
55972,Mister Bitcoins guide [10$],Cryptocurrency – General,,
42005,How to actually make BTC untraceable?,Cryptocurrency – General,,
9817,Localbitcoins scamVOUCHED METHOD50$comin soon,Cryptocurrency – General,,
48667,LocalBitcoins email,Cryptocurrency – General,,
4112,"Buy btc with credit card, not fake guide",Cryptocurrency – General,,
3129,Buy & Sell BTC using anon vcc,Cryptocurrency – General,,
42581,The best way of killing a laptop without a trace..,Digital Forensics,,
56161,Importation of  prescription only medications to the UK.,Drugs – General,,
55218,Need help with drug order...,Drugs – General,,
8894,"Nitrous Oxide, Become your own nitrous mafia :)",Drugs – General,,
1037,"* Guaranteed*Ipad Air method & site only *1 Copy left"" $100",Fraud,,
