freq,word,exfreq,LL,sig
1, 'get',99.0,0.048821133821228546,Not significant
2, 'cc',211.0,0.05225736158954797,Not significant
6, 'how',594.0,0.29292680292750317,Not significant
1, 'bible',47.0,0.6967339380451296,Not significant
10, '...',941.0,0.7151927339025574,Not significant
2, 'from',124.0,0.7750959703924578,Not significant
6, 'to',1065.0,0.8400660972103218,Not significant
1, 'new',39.0,0.9377667118648947,Not significant
2, 'the',547.0,1.6228435258579132,Not significant
1, 'over',17.0,2.214620157144923,Not significant
1, 'guide',423.0,2.329613595627617,Not significant
2, 'best',49.0,3.2419662266718006,Not significant
1, 'proof',8.0,3.5159500140324313,Not significant
1, 'gb',7.0,3.7506249364052944,Not significant
1, 'change',7.0,3.7506249364052944,Not significant
1, 'driver',6.0,4.021338837771834,0.05
4, 'pack',127.0,4.910008283946199,0.05
1, 'psds',2.0,5.879961393245797,0.05
1, 'australia',2.0,5.879961393245797,0.05
2, 'world',15.0,7.2587163131100265,0.01
2, 'usa',15.0,7.2587163131100265,0.01
2, 'more',13.0,7.761680793491277,0.01
8, 'of',286.0,8.46050861346063,0.01
1, '11+',0.0,9.66708595761723,0.01
1, 'india',0.0,9.66708595761723,0.01
1, 'docs',0.0,9.66708595761723,0.01
1, 'across',0.0,9.66708595761723,0.01
1, 'international',0.0,9.66708595761723,0.01
1, 'birthcert+passport+dl',0.0,9.66708595761723,0.01
1, 'addre',0.0,9.66708595761723,0.01
1, 'idpacks',0.0,9.66708595761723,0.01
1, 'europe',0.0,9.66708595761723,0.01
2, 'identity',6.0,10.432690937525855,0.01
6, 'your',136.0,10.464184224914344,0.01
2, 'templates',4.0,11.759922786491593,0.001
2, 'bills',2.0,13.820954916152342,0.001
2, 'price',2.0,13.820954916152342,0.001
2, 'drivers',1.0,15.531067128164304,0.0001
2, 'states',1.0,15.531067128164304,0.0001
2, 'quality',1.0,15.531067128164304,0.0001
2, 'around',1.0,15.531067128164304,0.0001
2, 'driving',1.0,15.531067128164304,0.0001
4, 'mega',24.0,16.085355351087337,0.0001
4, 'uk',18.0,18.093858064501074,0.0001
5, 'all',36.0,18.505551028667824,0.0001
2, 'ids',0.0,19.33417191523446,0.0001
3, 'us',3.0,20.73143237422851,0.0001
3, 'template',3.0,20.73143237422851,0.0001
6, 'fake',16.0,32.476284103526694,0.0001
6, 'pass',12.0,35.27976835947478,0.0001
4, 'australian',0.0,38.66834383046892,0.0001
4, 'passport/license',0.0,38.66834383046892,0.0001
8, 'id',9.0,53.97236302624432,0.0001
6, 'scan',0.0,58.00251574570338,0.0001
6, 'authentic',0.0,58.00251574570338,0.0001
7, 'license',1.0,61.657259345916344,0.0001
8, 'scans',2.0,67.36059963557153,0.0001
9, 'passport',0.0,87.00377361855507,0.0001
