subject,New Code,LLSum,AutoCat
How To Make A Phishing Website,Fraud,512,Drugs – Production
**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,Fraud,94,Fraud
FULLZ PHISHING GUIDE,Fraud,177,Fraud
Amazon Refund Scam,Fraud,587,Fraud
"Dating scam more than $1,000",Fraud,443,Fraud
How To Order From Cracked Amazon Accounts,Fraud,222,Drugs – Production
"BIGGEST FRAUD PACKAGE ON DEEPWEBCarding,Cashout,Paypal,CC...",Fraud,1377,Cashing Out
A TO Z MOBILE CHECK FRAUD,Fraud,469,Fraud
♕ MAKE $ SCAMMING PAY-PER-CALL OFFERS ♕,Fraud,290,Drugs – Production
How To Make A Phishing Website,Fraud,512,Drugs – Production
FRAUD SUPER PACK OF BOOKS,Fraud,440,Fraud
AMAZON REFUND SCAM GET iPHONE OR SAMSUNG S8 FREE 2017,Fraud,785,Fraud
How To Become A Fake Uber Driver - Make $725+ Per Week,Fraud,512,Drugs – Production
★ PHISHING FULL PACK   ★ 2016  ★,Fraud,176,Fraud
★AMAZON REFUND SCAM!!!!!★,Fraud,520,Fraud
Amazon Refund Scam,Fraud,587,Fraud
★ ★ LOCALBITCOINS SCAMMING ★ ★,Fraud,192,Fraud
★✆ MOBILE CHECK FRAUD!!!  ✆★,Fraud,469,Fraud
★AMAZON REFUND SCAM!!!!!★,Fraud,520,Fraud
business invoice fraud,Fraud,439,Fraud
+++How to eat Mcdonalds for free?+++,Fraud,88,Fraud
Updated Dating Scam Old but still working method 2014,Fraud,449,Fraud
WALMART RETURN SCAM EASY $200 - GET FREE STUFF,Fraud,704,Fraud
★ PHISHING FULL PACK   ★ 2016  ★,Fraud,176,Fraud
2017 ADVANCED/BEGINNERS COMPLETE DARKNET FRAUD ENCYCLOPEDIA,Fraud,566,Fraud
♕ Get FREE STEAM/ORIGIN Game Keys ♕,Fraud,129,Fraud
How To Make A Phishing Website,Fraud,512,Drugs – Production
How To Scam On LocalBitcoins,Fraud,550,Fraud
WALMART RETURN SCAM EASY $200 - GET FREE STUFF,Fraud,704,Fraud
**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,Fraud,94,Fraud
♕ LOCALBITCOINS SCAM: HOW TO ♕,Fraud,500,Fraud
How To Scam CS:GO Players,Fraud,464,Fraud
WALMART RETURN SCAM EASY $200 - GET FREE STUFF,Fraud,704,Fraud
How To Become A Fake Uber Driver - Make $725+ Per Week,Fraud,512,Drugs – Production
★AMAZON REFUND SCAM!!!!!★,Fraud,520,Fraud
CS:GO Scamming Method 2017,Fraud,192,Fraud
Basic Phising Tutorial Part 1 + 2,Fraud,143,Carding
Amazon refund scam [Personal method],Fraud,587,Fraud
CS:GO Scamming Method 2017,Fraud,192,Fraud
FULLZ PHISHING GUIDE,Fraud,177,Fraud
★TORSO'S ★ FRAUD ★ PACKAGE ★,Fraud,488,Fraud
★ ★ LOCALBITCOINS SCAMMING ★ ★,Fraud,192,Fraud
How To Scam People On Craigslist,Fraud,459,Fraud
2017 ADVANCED/BEGINNERS COMPLETE DARKNET FRAUD ENCYCLOPEDIA,Fraud,566,Fraud
How To Scam On LocalBitcoins.com,Fraud,465,Fraud
ALL 50 STATES DRIVERS LICENSE TEMPLATES,Fraud,122,Resources – Identity Documents
A TO Z MOBILE CHECK FRAUD,Fraud,469,Fraud
How To Scam On LocalBitcoins,Fraud,550,Fraud
How To Make A Phishing Website,Fraud,512,Drugs – Production
WALMART RETURN SCAM EASY $200 - GET FREE STUFF,Fraud,704,Fraud
FREE Dominos,Fraud,53,Fraud
FULLZ PHISHING GUIDE,Fraud,177,Fraud
The Ultimate Fraud Tutorial Pack (2450+ Tutorials),Fraud,483,Fraud
Amazon Refund Scam,Fraud,587,Fraud
✔ ⟁ AMAZON FRAUDING 2016 ⟁ (͠≖ ͜ʖ͠≖),Fraud,67,Fraud
WALMART RETURN SCAM EASY $200 - GET FREE STUFF,Fraud,704,Fraud
How To Make A Phisher For A Website,Fraud,512,Drugs – Production
